,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,0.00015320818565669472,0.2691282466053963,0.1659085601568222,0.00023796866953489372,7.366827344412741e-06,0.00034343621373409403,6.820062867518573e-06,7.621245640621055e-06,0.14870595559477806,5.829011497553439e-05,0.0552529713138938,0.42333727031946183,0.002440516231581569,0.0006388898618752137
priorregion1_spot_2,1.5607696298047812e-06,1.795637335817446e-05,1.22037979963352e-05,0.0015139639377593993,1.3958494605503803e-06,1.1260560154914856,3.953449322580127e-05,1.8400733188173037e-05,0.000261774254613556,0.013175017340108753,1.0179591799897026e-05,0.5621842175722123,7.928643555032977e-07,0.3182020291686058
priorregion1_spot_3,9.956530175259103e-06,0.11752960085868835,3.4813484830920067e-06,4.613372789208371e-06,1.4236517199606168e-05,0.9766253858804703,7.812765725248027e-05,3.176312766299816e-05,0.4172416776418686,6.535657375934535e-05,0.08389214053750038,0.1343347690999508,1.5522560443059773e-05,0.41056827902793885
priorregion1_spot_4,0.07145256251096725,0.3995509371161461,4.998744628892382e-07,1.2008305020572153e-06,0.01338215870782733,0.00024403631396126003,1.8594360028600932e-06,2.581601643214526e-06,0.7621045649051666,3.238672638872231e-06,1.0495515334696393e-05,0.5801666885614396,1.383719350087631e-05,0.5000657677650452
priorregion1_spot_5,0.0008704315783688799,0.09034482389688492,0.0002022217042394914,1.3665991855305037e-05,1.6216538188018604e-05,0.6139627784490586,0.09524434953927993,0.035411550849676135,0.21041627824306489,0.000180984254257055,0.0005344368546502665,0.7550390303134918,9.840954953688199e-06,0.19996115043759344
priorregion1_spot_6,7.463674628525042e-05,0.003976934682577848,0.0022778472397476436,2.4539928108424647e-05,5.566518957493827e-05,1.0185024976730348,0.01354337432421744,0.21443105638027193,0.4156968846917153,0.02520689610391855,0.02062753820791841,0.24944312125444412,7.093047724993084e-06,0.014872363349422813
priorregion1_spot_7,6.135658386483556e-05,0.32827354669570924,6.146036557765911e-05,0.02034205533564091,0.00013130362785886975,0.19329634308815002,3.8300303458527196e-05,9.270518530684058e-05,0.3561739817261696,6.972895812396018e-06,0.13370885103940963,0.4708188414573669,2.497501163816196e-05,0.24342775493860247
priorregion1_spot_8,0.1398694433271885,0.042182322964072226,2.5942282718460777e-06,9.408261007592956e-07,1.0406890214653686e-05,0.0006980908830882982,1.973065800484619e-05,0.002462315873708576,0.835767301917076,0.00019517733016982675,4.516076860454632e-05,0.43189326524734495,0.0002917386824265122,0.14716628864407538
priorregion1_spot_9,0.0016546082682907582,0.1496792584657669,7.138137380025e-06,6.599146836379078e-05,0.001951761543750763,0.8880814343690872,4.1036934635485527e-05,0.00018081022280966864,0.554327753186226,0.00029242595774121584,3.5070371086476375e-05,0.533900910615921,2.4344415851373925e-05,0.12666459009051323
priorregion1_spot_10,5.470833775689244e-06,0.08028088361024857,2.1572644982370547e-06,9.29445351971481e-07,1.941317332239123e-05,0.471208231151104,0.0001890631414426025,0.10258013755083084,0.46312740743160247,0.005351768434047699,4.988679502275773e-05,0.08307684138417244,1.400488154104096e-05,0.08806062266230583
priorregion1_spot_11,3.8007350212865277e-06,2.0704604048660263e-05,1.0432241469970905e-05,2.4066595528893236e-06,1.6246176812728663e-06,0.3202047199010849,0.001132039341609925,0.11455053202807902,0.0003077240195125341,0.008594688447192312,4.843244050789508e-06,0.8020572096109391,8.26994335056952e-07,0.6942830860614777
priorregion1_spot_12,0.00020273267218726688,0.019369346182793377,1.3413064891665272e-06,1.4180617995407374e-06,1.915482034746674e-05,0.7136418342590332,2.2139327575132485e-05,1.3783825625068858e-05,0.6388280004262924,0.00045769417920382693,0.00011363019220880232,0.83289313018322,0.001238591119181365,0.4288337886333466
priorregion1_spot_13,0.000553686430794187,9.29990677832393e-05,0.0002222192539193202,4.7898676484692275e-06,4.7274421746124066e-07,0.12126825675368309,0.3217376470565796,0.04010391142219305,0.004107655677944422,4.982908885722282e-05,5.195137168811926e-06,0.8566549003124236,1.026948058324706e-06,0.35055765211582185
priorregion1_spot_14,3.403804803383537e-05,0.24611960276961328,0.00032793527352623645,0.02467561876401305,4.0462818833475464e-05,1.0195101022720336,0.0026825828361324963,0.0117570327129215,0.33797114938497547,8.845672236930114e-05,0.0022898843279108407,0.14924320280551912,4.8544932724325924e-06,0.11264145113527775
priorregion1_spot_15,3.1606384482074646e-06,0.314960278570652,1.7108468637161422e-05,0.03746079616248608,1.101651951103122e-05,0.3252712696790695,3.904111849806213e-06,2.8585823997673287e-06,0.6257386893033982,5.4921441233091174e-06,0.01734892511740327,0.1030091941356659,1.084434129552392e-05,0.037322782352566725
priorregion1_spot_16,2.0183279229968323e-05,0.33398877233266827,4.617574504095501e-07,6.862297198040324e-07,7.071464278851637e-05,1.0886624038219452,1.9080372931057353e-05,6.7361972241997135e-06,0.5551061123609542,7.769647208988318e-06,1.553243282614858e-05,0.001826274459017441,3.608423753576062e-06,0.008832362620159984
priorregion1_spot_17,0.0038601823151111605,0.39484568983316426,0.15722534358501433,0.0031612896360456943,0.00015617151366313918,0.8735120952129364,0.022594380378723144,0.0032426981488242745,0.11924444623291493,0.00021623351713060402,0.248081237077713,0.8445815831422805,4.379925703688059e-05,0.3789515435695648
