,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,0.35669533014297483,0.0002556755120167509,0.29276190847158434,6.68171254801564e-05,1.3230287822807443e-05,0.003291939804330468,3.942231505789096e-05,2.5799051127251008e-05,2.0499362017289967e-05,2.2639785170555116,0.5269907504320145,1.3780347526073455,6.219489478098694e-05,0.12308276034891605
priorregion1_spot_2,0.3223433181643486,0.04129282254725695,0.009881970239803195,4.674359297496267e-06,6.284636256168597e-05,6.616947621296276e-06,4.3658116010192326e-05,1.6095911007596443e-06,8.130474179779413e-06,1.6465015411376953,0.19638656973838806,1.318398916721344,0.00033546933555044233,0.4706594958901405
priorregion1_spot_3,0.07900669313967228,0.1866160325706005,0.9996038287878036,0.07776748836040497,7.376356297754683e-05,0.011451261816546321,0.00011640865159279201,6.5878289888132714e-06,0.00018297455171705225,1.3870424568653106,0.17008775919675825,1.26707563996315,7.17034828994656e-05,0.42848737835884093
priorregion1_spot_4,0.0006493568478617818,2.731628255787655e-05,0.6889809638261795,0.48832832425832745,0.00936488602310419,0.0030526390415616337,1.1490453653095754e-05,2.723318743846904e-06,1.4083752284932416e-05,0.0007213371805846691,0.000725957119720988,0.3498567834496498,0.001280333922477439,0.01372867226600647
priorregion1_spot_5,0.4348486170172691,0.0006941325118532404,0.4362876817584038,4.467126018425916e-05,0.00038182910211617124,1.61076020958717e-05,0.10414058528840542,0.0003863793026539497,3.936850462196162e-05,0.0014248060120735317,2.8136404944234526e-05,2.683148729801178,0.002251065440941602,1.8876393914222718
priorregion1_spot_6,8.111059323709923e-05,0.008090823888778687,0.9456177413463592,0.12541852816939356,2.070326672765077e-06,2.7208498494246673e-07,3.4521344105087335e-06,3.991216189547231e-07,0.00023680086524109357,0.0010036198480520397,2.077706576528726e-05,0.19437911584973333,9.539860684526502e-06,0.017628614604473115
priorregion1_spot_7,0.58343785405159,0.00021912995944148861,0.08653676807880402,4.6381698666664306e-05,8.908588461054023e-05,1.5656369555472341e-06,1.9312346921651628e-05,2.7859616693604043e-06,1.995510740471218e-06,1.5371586561203003,0.12951481863856315,1.2454677045345306,0.0003942854673368857,0.045695925876498227
priorregion1_spot_8,0.13319177851080893,0.027017430495470764,0.9039148956537246,3.7391003570519384e-05,0.015488338051363825,0.0020115355961024765,0.06037033908069134,5.261038018034015e-06,0.00011643936704786029,0.5460189789533615,0.00029713849653489893,1.0421238720417023,0.00022190087038325147,0.39595356583595276
priorregion1_spot_9,0.004807380167767405,7.373175358225126e-05,1.1424504637718202,0.012845639511942864,2.5158391167678935e-06,0.00045851803733967247,5.940106825619296e-06,0.0037989319767802957,5.05315172176779e-06,0.5215976148843765,0.015144959650933742,0.35382556915283203,0.0007427485194057226,0.05626204460859299
priorregion1_spot_10,0.1737441450357437,0.002171935793012381,1.4366739690303802,0.004368919017724692,4.126018793613185e-05,1.6389195025112716e-05,0.0001067714885721216,7.51491543269367e-06,1.0401345889476943e-05,0.6821123152971268,0.10315816067159175,0.24730852320790292,0.0001047487519826973,0.01240311241708696
