	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	3.001686e-05	0.57587594	0.01418242	0.057342738	0.036514774	2.0345146e-07	3.0948857e-07	2.5927872e-07	0.10354971	3.4061338e-06	0.06323592	5.720067e-07	0.13736987	0.011893831
priorregion1_spot_2	0.02136976	0.53071886	7.095429e-06	0.022876874	1.0317136e-05	1.8812187e-07	1.9758447e-07	1.3197119e-07	0.16153578	8.640962e-07	2.657236e-05	3.9097395e-07	0.26345053	2.415953e-06
priorregion1_spot_3	0.0037416134	0.5091788	3.5505406e-07	2.649132e-07	0.09367708	1.1165705e-07	1.4660569e-07	9.282874e-08	2.2497425e-06	0.112641715	1.5764803e-05	0.00026149477	0.28046793	1.2350967e-05
priorregion1_spot_4	0.037287887	0.54466254	3.6120298e-07	2.0084633e-07	0.10517414	2.2860966e-07	0.003786505	2.8525426e-07	4.611863e-06	0.057162315	0.03212224	5.0215937e-07	0.21979706	1.0716008e-06
priorregion1_spot_5	1.4527348e-06	0.53560436	1.180502e-05	0.040914416	1.363543e-05	9.3499324e-08	2.3232813e-07	1.613656e-07	0.19484833	7.3788065e-06	9.1310656e-05	5.295392e-07	0.22850461	1.6397535e-06
priorregion1_spot_6	0.0147665255	0.4805763	0.0015242974	4.929249e-07	1.3031073e-06	4.2044402e-07	1.4530163e-07	9.0986975e-07	1.6804256e-06	0.03410444	0.1401674	5.205175e-07	0.3288547	8.178076e-07
priorregion1_spot_7	0.09412826	0.58146065	1.2112048e-06	6.4058224e-07	0.11204414	0.012485733	5.2627483e-06	9.4944306e-07	0.0062141	0.022988671	2.0190626e-05	5.421484e-06	0.13395704	0.036687642
priorregion1_spot_8	1.1158856e-05	0.5356275	2.6266267e-07	1.5253151e-07	0.021234563	5.2941414e-07	3.3103322e-07	2.8773255e-07	2.034414e-05	0.0006649253	0.13555378	2.1044038e-06	0.30171058	0.005173509
priorregion1_spot_9	0.0397637	0.46166062	2.903914e-07	1.8434599e-07	0.10610015	1.6377589e-06	7.861964e-07	4.0365867e-07	0.06302112	3.547611e-06	1.6119273e-05	1.3145687e-06	0.3294219	8.099838e-06
priorregion1_spot_10	0.0003307257	0.3384729	3.0887264e-07	2.1524373e-07	5.882846e-06	4.7037636e-05	2.5738441e-07	1.760946e-07	0.0740559	5.5106752e-06	0.022644937	1.9205793e-07	0.5644354	4.850007e-07
