,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,0.003503284219186753,5.226779580880248e-06,0.5559672594070434,0.6329415291547775,0.002304598758928478,0.0005418548418674618,0.6115407407283783,4.407803644426167e-05,5.8696701898952605e-06,7.541056475020013e-05,2.8456130075937838e-05,0.00017225975243491122,1.1451779300841736e-05,0.696787452697754
priorregion1_spot_2,0.020325032528489828,2.2514508941640088e-06,0.04501566868275404,0.4276572898030281,0.00025441911420784894,0.21410846039652826,1.1963007152080536,0.0014783731254283338,3.312297917545948e-06,0.011039474140852691,1.536255335850001e-05,0.008939341921359301,1.124950190387608e-05,0.000909490161575377
priorregion1_spot_3,0.0022087731631472707,1.328701559941692e-05,0.5361394912004471,0.934058067202568,3.670884289022069e-05,0.22059728503227236,1.1090542674064636,0.00017316692901658826,8.190355292754248e-05,0.016062288265675306,3.7567242361546964e-05,0.0002810405087075196,1.3851528137820424e-05,0.16092970743775367
priorregion1_spot_4,0.0001627294892386999,6.718663485116849e-06,0.4445718467235565,1.5118630588054658,0.04938014820218086,2.741090474955854e-05,0.003877075470518321,1.6671625587605378e-06,2.431252960377606e-05,7.3829508664857714e-06,0.0009362869925098493,7.925249119580258e-05,8.93109886419552e-06,0.004431757866404951
priorregion1_spot_5,0.00013933069349150173,1.9485691609588686e-06,0.283113120496273,0.9552996218204498,8.248841959357378e-06,0.06754904985427856,0.7899554222822189,0.23307396098971367,2.695537887120736e-06,3.0205986149667297e-05,7.210994294837292e-06,0.0001343577685474884,6.6710239707390435e-06,0.02156881904229522
priorregion1_spot_6,0.00028553622105391695,7.438451370944677e-06,0.21645440757274628,0.28794348537921904,6.245218833100807e-06,0.00016687261449988,1.0381690859794617,1.0047267551271943e-05,9.54271607156443e-07,0.00022229503010748886,0.0026247524539940057,1.9170642644894542e-05,2.6269769296050072e-05,0.15199612975120544
priorregion1_spot_7,0.012992262141779065,1.4937725063646213e-05,0.21753989085555075,0.30152747333049773,2.7259662692813437e-05,0.03672517314553261,1.1259154200553896,0.00020473404874792324,6.6385148102199315e-06,0.005177702009677886,0.001940966013353318,0.00012202715988678392,0.003963917633518577,0.001272504322696477
priorregion1_spot_8,4.001419601991074e-05,2.6611569751366916e-06,0.10620427131652832,0.39257681369781494,1.816773474274669e-05,0.0002894330769777298,0.48221018016338346,0.008605623431503772,1.055771876963263e-05,2.163932413168368e-06,6.812131573497027e-06,0.006302402843721211,5.896621905776557e-06,0.00026923094992525876
priorregion1_spot_9,0.010001839185133575,1.7295381894655296e-05,0.406348842382431,1.0444785237312317,7.234484219225122e-05,0.2469834804534912,0.508010396361351,0.0225323555059731,1.7103958089137454e-05,0.000399468099931255,5.151469504198758e-05,0.0003937096742447465,5.6498818048567044e-05,0.3045412957668304
priorregion1_spot_10,2.771430072243675e-05,3.6718377486977267e-06,0.21461385637521746,0.3853625640273094,1.6728297623558318e-06,8.600257660873468e-06,0.03261568266898394,0.0001328604412265122,1.996944968141179e-06,1.2045570929331005e-05,4.8616542471791035e-06,2.3083219730324345e-05,7.2092458367478685e-06,0.002932974824216217
