	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	8.3574287e-07	9.572093e-08	1.9219452e-07	3.8244107e-07	1.1383948e-07	0.7709858	0.0019348324	0.0015198397	1.461622e-07	1.3991878e-07	1.217417e-07	6.5900787e-07	7.757223e-08	0.22555678
priorregion1_spot_2	0.0008047353	1.9906116e-07	0.044909947	0.175492	9.305155e-08	0.522221	3.2325734e-05	3.6745583e-05	2.1531527e-07	1.5642536e-07	0.09618981	0.00026174219	1.5026214e-07	0.16005093
priorregion1_spot_3	1.7350807e-07	1.798217e-06	1.4089909e-07	7.26526e-08	9.756018e-08	0.88075966	0.01652943	0.099458545	3.6614782e-07	6.3049356e-07	0.0013105673	5.2866977e-08	4.8444086e-08	0.0019384195
priorregion1_spot_4	1.30235785e-05	1.6312826e-07	0.15320426	0.18999529	2.1074125e-07	0.41928536	0.06926144	0.16235441	1.3950748e-07	1.8448206e-07	1.1032784e-07	0.0058849924	7.6581244e-08	3.737519e-07
priorregion1_spot_5	1.5924785e-06	1.885854e-07	0.050649285	0.12859236	1.471841e-07	0.38681918	0.000644255	2.305044e-05	1.7173336e-07	1.8501435e-06	0.0034895511	4.4080493e-06	1.4289762e-07	0.42977384
priorregion1_spot_6	3.1959007e-07	1.3094846e-07	0.0050930395	0.049185455	7.706757e-08	0.62252694	0.1014272	0.1566137	2.1903891e-07	5.075386e-07	1.0652956e-07	0.014913528	3.0526286e-07	0.050238423
priorregion1_spot_7	3.4811015e-05	9.938121e-08	3.5085338e-07	2.53618e-07	9.1938404e-08	0.450289	0.14299078	0.12922528	1.2022628e-07	1.6585145e-07	1.13009946e-07	0.03562826	2.1461216e-07	0.24183045
priorregion1_spot_8	0.00015072706	2.4520352e-07	1.0980813e-06	0.021281954	2.0850386e-07	0.29238838	0.00013615895	6.655063e-05	2.3961033e-07	7.5598575e-07	2.5532847e-07	1.93643e-05	4.1337336e-07	0.68595374
priorregion1_spot_9	1.5586355e-07	1.01513855e-07	5.633681e-07	0.12493493	7.741561e-08	0.6688009	0.00044087184	0.05219693	1.21099e-07	1.4191889e-07	1.3612893e-07	0.040098768	7.327119e-08	0.11352631
priorregion1_spot_10	7.910142e-07	2.0822205e-07	1.2424757e-06	0.2488935	1.0740715e-07	0.48561227	1.8982615e-05	0.0008978784	1.9898175e-07	6.433617e-07	0.15132847	9.4840266e-07	1.3064462e-07	0.113244645
priorregion1_spot_11	6.3757693e-07	8.497684e-08	0.022558868	1.1032974e-05	5.879089e-08	0.51809454	7.8516985e-07	1.6827084e-06	7.6616836e-08	1.1428384e-07	8.8215586e-08	6.1117396e-07	5.685624e-07	0.45933086
priorregion1_spot_12	8.1393256e-07	1.5744017e-07	0.075574726	0.68114364	2.062276e-07	1.5441375e-07	0.019661656	6.021754e-07	1.9628948e-07	9.177787e-08	1.4500836e-07	2.2164218e-07	7.019047e-08	0.22361729
priorregion1_spot_13	3.5917378e-07	1.8959156e-07	1.0966591e-07	2.0133949e-07	2.1958213e-07	0.74502885	0.09050926	0.0641597	1.124131e-07	2.496727e-07	0.08562475	1.14126074e-07	7.3684284e-08	0.0146758035
priorregion1_spot_14	3.231669e-06	5.0909154e-07	2.78008e-07	0.029163096	2.0890235e-07	0.67401433	0.00979885	0.059635203	2.6023358e-07	0.03520993	0.044888973	2.7470635e-06	2.6151855e-07	0.14728212
priorregion1_spot_15	4.7458255e-07	5.5198704e-08	7.041566e-08	7.246148e-08	1.3923383e-07	0.53637177	0.22925518	0.038115148	5.9539772e-08	6.123738e-08	6.310928e-08	1.7520554e-07	6.464062e-08	0.19625656
priorregion1_spot_16	3.762207e-07	5.631486e-07	0.02206606	0.530259	6.456575e-07	0.20531887	0.00032438803	3.3681818e-06	5.216726e-07	1.4307418e-06	0.2403949	1.9406797e-07	0.0016288995	7.429271e-07
priorregion1_spot_17	3.2480114e-07	3.2455966e-07	0.03220089	0.37358826	2.229281e-07	0.3098359	2.6063267e-06	0.08217222	3.377564e-07	0.0010437501	3.0560827e-07	0.05986718	1.6473439e-07	0.14128755
priorregion1_spot_18	1.890912e-07	4.7928114e-07	3.3263623e-05	0.5190983	8.3291965e-08	0.27541855	4.9444344e-07	5.7920943e-06	0.025419751	3.7616417e-06	0.0543266	5.904529e-07	7.468389e-08	0.12569198
priorregion1_spot_19	9.3146824e-05	9.641889e-08	1.11261755e-07	1.3834791e-07	8.649055e-08	0.36671194	0.15444137	0.0015405095	8.992775e-08	1.2114673e-07	1.5050173e-07	0.003143837	2.2667157e-07	0.47406822
