	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	3.1666663e-05	0.5756173	0.01442065	0.05719555	0.036647227	2.04131e-07	3.1075805e-07	2.6059487e-07	0.10354408	3.419818e-06	0.06317069	5.698808e-07	0.13736138	0.012006716
priorregion1_spot_2	0.021322213	0.531111	7.0464107e-06	0.022933839	1.0201081e-05	1.8807567e-07	1.9737907e-07	1.31897e-07	0.16118822	8.6105877e-07	2.660977e-05	3.85423e-07	0.2633966	2.4378244e-06
priorregion1_spot_3	0.0039142487	0.5093069	3.5571534e-07	2.662711e-07	0.09357422	1.1175764e-07	1.4690352e-07	9.2868596e-08	2.2409859e-06	0.11247473	1.5729416e-05	0.0002607101	0.2804359	1.4332669e-05
priorregion1_spot_4	0.03762361	0.54447955	3.63139e-07	2.0163534e-07	0.10521111	2.2886847e-07	0.003825085	2.8615483e-07	4.6185064e-06	0.057229456	0.03196807	4.9935113e-07	0.2196559	1.0761847e-06
priorregion1_spot_5	1.4515755e-06	0.5357371	1.1347791e-05	0.040863488	1.3665947e-05	9.3403415e-08	2.3206793e-07	1.6105335e-07	0.19477467	7.3763704e-06	9.154149e-05	5.2989213e-07	0.2284967	1.6634772e-06
priorregion1_spot_6	0.01429453	0.4806703	0.0014845917	4.939962e-07	1.2970282e-06	4.1668494e-07	1.4493814e-07	8.9932786e-07	1.6783096e-06	0.03402602	0.14046629	5.0430486e-07	0.32905206	7.932458e-07
priorregion1_spot_7	0.093703985	0.58191967	1.1961758e-06	6.320698e-07	0.112121224	0.012462318	5.1058987e-06	9.398297e-07	0.0059283627	0.022919677	2.0282814e-05	5.3431386e-06	0.13407199	0.0368393
priorregion1_spot_8	1.11092395e-05	0.5358	2.6455285e-07	1.5295906e-07	0.021124763	5.293107e-07	3.3114156e-07	2.8749645e-07	2.035373e-05	0.00063516456	0.13560423	2.1086007e-06	0.30167183	0.0051288786
priorregion1_spot_9	0.03985326	0.46190754	2.913958e-07	1.8465208e-07	0.10603848	1.6766551e-06	7.949917e-07	4.0490153e-07	0.062759936	3.5512119e-06	1.6112002e-05	1.3138479e-06	0.32940814	8.238322e-06
priorregion1_spot_10	0.0003274065	0.3388969	3.0745744e-07	2.1473844e-07	5.7430016e-06	4.4793644e-05	2.565418e-07	1.7522441e-07	0.07361157	5.437289e-06	0.02259722	1.92535e-07	0.5645093	4.875032e-07
priorregion1_spot_11	4.860701e-06	0.45157236	3.1449435e-06	0.024280405	0.008691432	1.1771629e-05	3.6929362e-07	2.3241745e-07	0.121918075	0.0025705283	0.15979497	9.753619e-07	0.23114958	1.3371498e-06
priorregion1_spot_12	0.016844755	0.39863947	1.3629202e-07	1.0838628e-07	0.10464892	9.5052656e-08	2.4311947e-07	1.1356635e-07	4.796611e-07	0.13383682	1.133049e-06	0.0057379315	0.34028906	7.452729e-07
priorregion1_spot_13	0.044182234	0.6346012	1.1045043e-06	7.6712666e-07	0.06916004	0.02404638	4.9385545e-07	8.473933e-07	0.027024554	3.983807e-06	1.3078824e-05	4.1744303e-07	0.1859737	0.014991291
priorregion1_spot_14	0.04338175	0.5608998	6.9249575e-07	2.7716519e-07	0.041895412	9.828652e-08	1.5553779e-07	1.1394928e-07	0.00019256513	2.4221257e-05	0.3102634	2.0589684e-06	0.043338675	8.387568e-07
priorregion1_spot_15	0.07434568	2.799574e-07	2.101884e-07	5.829756e-07	2.6643193e-07	8.0968437e-07	2.292749e-07	3.6536535e-06	2.4020315e-07	2.3125233e-07	1.0167016e-06	2.3287982e-06	0.900376	0.02526846
priorregion1_spot_16	2.1900418e-05	0.47531834	1.1174991e-05	1.4469756e-05	0.05011349	2.5498434e-07	3.2402954e-07	1.5269126e-07	0.000117467294	4.640973e-06	4.6999176e-05	7.985636e-06	0.47271442	0.0016284357
priorregion1_spot_17	5.186621e-06	0.40219465	5.276887e-07	1.7179412e-06	0.013934342	2.1320025e-07	1.3759966e-07	1.1477938e-07	0.046673853	2.5495187e-06	5.163558e-06	4.740591e-07	0.5371795	1.4994604e-06
priorregion1_spot_18	0.13609508	5.5085e-07	1.896991e-07	3.0766165e-07	0.00041801928	6.172119e-07	3.2414843e-07	8.001235e-07	3.8896349e-07	0.0027407063	1.5578446e-06	1.31895495e-05	0.86072534	2.9821e-06
priorregion1_spot_19	6.756227e-06	0.41353512	8.4650765e-07	0.0067915283	0.027586404	8.8414964e-08	1.3118857e-07	1.1599169e-07	0.013298584	2.6298399e-06	0.103121795	6.3687247e-07	0.43312764	0.0025276926
priorregion1_spot_20	0.016748888	0.20516932	2.8485451e-06	0.03935873	0.028858183	0.012284075	4.055846e-07	4.6144734e-07	7.0193346e-05	0.050447028	0.015720943	0.008890246	0.6224428	5.87007e-06
priorregion1_spot_21	0.013471143	0.014643305	0.030561516	0.031002088	0.049407642	2.6685595e-07	0.00166239	3.235585e-07	0.000258187	1.6016947e-05	0.3094761	0.004699389	0.53707343	0.0077282367
priorregion1_spot_22	0.020992702	2.6246357e-06	3.3467464e-07	2.6525467e-07	0.019231806	3.886883e-06	3.3706695e-07	2.820157e-07	6.033674e-07	0.02985099	0.18239008	0.0013216323	0.74620223	2.2665297e-06
priorregion1_spot_23	2.9855223e-06	0.56215954	8.561685e-06	0.056066718	2.488328e-05	1.539276e-07	2.1432602e-07	2.0378683e-07	0.06541817	4.0271287e-05	0.14392744	0.007123528	0.16055071	0.004676676
priorregion1_spot_24	3.2355347e-06	0.5032159	4.264484e-07	1.7862311e-07	0.041487664	1.9274783e-07	2.776357e-07	2.0745797e-07	0.04185828	0.00015679358	0.29806402	3.7728983e-05	0.11370599	0.0014689353
priorregion1_spot_25	1.5195062e-05	0.42913863	6.3834216e-07	0.001058691	0.06452635	1.6890728e-07	2.954862e-07	7.2869835e-07	0.0008070782	0.027940115	0.1557494	5.7514893e-07	0.31799927	0.0027627759
priorregion1_spot_26	3.002813e-06	0.6038286	0.069910415	0.0042699315	0.006755493	5.0547236e-08	1.5170967e-07	5.5824195e-08	0.021092033	1.7299614e-06	0.1813579	1.761553e-07	0.11278015	3.381832e-07
priorregion1_spot_27	0.002425013	0.6239646	6.433184e-07	3.12064e-07	0.12314988	1.1244449e-07	4.3542983e-07	1.9468811e-07	0.00011066395	0.03189001	0.022852724	0.004136331	0.19146216	6.9195135e-06
priorregion1_spot_28	2.2862094e-05	0.38758427	3.5494213e-07	3.1163705e-07	0.06020734	0.003646854	3.379672e-07	2.0255102e-07	9.99667e-06	0.081470184	1.76049e-05	6.9949914e-07	0.4670379	9.600982e-07
priorregion1_spot_29	0.054788195	0.061161503	4.1104343e-07	2.2839367e-07	0.11340221	4.4481763e-07	2.770737e-07	2.614779e-07	8.2369735e-07	0.058841776	1.9335885e-06	5.326508e-07	0.7117992	2.1929948e-06
priorregion1_spot_30	0.011962555	0.40019408	0.042598993	0.113244176	0.049576413	0.008492253	1.9810285e-07	7.559827e-07	0.06050096	9.761797e-06	0.053810235	5.1845007e-07	0.25022727	0.009381799
priorregion1_spot_31	3.328298e-06	0.5344413	0.08470395	0.018417884	0.041998506	1.3343923e-07	2.6233917e-07	1.8845417e-07	0.002852139	2.261656e-05	0.17304713	1.2725585e-06	0.14450997	1.3710878e-06
priorregion1_spot_32	0.009384747	1.0503152e-06	3.4643534e-07	3.7782823e-07	8.401626e-07	0.0035898315	3.5026162e-07	4.6166681e-07	3.7645142e-07	0.00015829569	0.0024886902	5.754128e-07	0.9764263	0.007947803
priorregion1_spot_33	2.9062272e-07	0.3527934	5.615237e-07	0.017493201	3.637345e-07	3.2734928e-08	4.3577412e-08	2.8588754e-08	0.12596211	2.8797774e-07	0.03621812	3.1058752e-07	0.46753106	1.3756683e-07
priorregion1_spot_34	1.1324938e-06	0.6061569	0.06173846	0.016814368	8.454056e-06	4.0891072e-07	4.613518e-06	6.464018e-07	0.05407238	2.4406365e-06	0.1025299	3.5637254e-07	0.15866922	6.9052146e-07
priorregion1_spot_35	0.00010529693	0.49892464	7.788502e-07	5.824083e-07	0.009064428	1.3261614e-07	6.116317e-05	1.2984803e-07	1.04996e-05	0.028970703	0.252923	3.2906044e-06	0.1784512	0.031484146
priorregion1_spot_36	3.6602848e-06	0.33218786	6.2963926e-07	2.7986366e-07	3.0068271e-05	1.5506005e-07	1.6520575e-07	1.19040216e-07	3.7478642e-06	3.0163794e-05	0.23972856	0.0033035458	0.42470673	4.310293e-06
priorregion1_spot_37	0.02136263	0.5932517	0.039966308	1.9738545e-06	0.07711652	8.211875e-08	1.2701491e-07	1.096508e-07	0.059499417	8.741789e-06	0.0043879757	0.0031747275	0.20119192	3.780685e-05
priorregion1_spot_38	0.015884481	0.24848689	1.1106264e-06	5.092268e-07	0.051043898	2.5799495e-06	1.2236393e-06	6.363925e-07	0.011120843	8.0121856e-05	0.31805345	1.4860724e-05	0.35528687	2.2520422e-05
priorregion1_spot_39	0.0032103092	0.32661822	4.7338412e-07	2.8870727e-07	0.050877657	0.03862039	4.4620847e-07	6.372807e-07	1.4089572e-05	0.07525831	0.092270635	9.654657e-07	0.4124732	0.00065429864
priorregion1_spot_40	0.03729615	0.55108917	8.368523e-07	7.511443e-07	0.022642743	1.7814648e-07	2.808472e-07	1.3387043e-07	0.00018807355	2.2992916e-05	0.26538014	1.1963178e-06	0.12332928	4.8040638e-05
priorregion1_spot_41	0.07139311	0.026019558	2.588551e-07	1.1037444e-06	1.5587347e-06	2.1477906e-07	1.2856957e-06	0.0018197736	0.07937973	2.166851e-06	1.2725048e-06	1.2918119e-05	0.8011889	0.020178137
priorregion1_spot_42	0.029298574	0.39288035	1.9156937e-06	0.0012299514	0.0040787747	1.392951e-07	3.6601136e-07	1.6093294e-07	2.0276339e-06	0.022377945	0.095077224	0.0325737	0.38071665	0.041762244
priorregion1_spot_43	6.8788568e-06	0.21447186	5.4213656e-06	3.8824023e-06	1.818789e-06	9.538971e-08	1.899622e-07	1.700402e-07	0.07023352	1.3650861e-05	0.31828573	7.6385044e-07	0.3824794	0.014496625
priorregion1_spot_44	0.06343789	0.23406188	2.7801784e-07	2.3251899e-07	0.040862963	4.1914086e-07	1.2842303e-06	8.1403607e-07	0.023939209	1.0017875e-05	1.7280994e-05	1.1807363e-06	0.6375641	0.000102433965
priorregion1_spot_45	0.017124055	0.28910524	4.2859946e-07	3.0165316e-07	0.093238786	1.3961763e-07	2.8321742e-07	1.6873292e-07	1.0960272e-05	0.026348582	1.6751312e-06	4.306143e-07	0.55225664	0.021912312
priorregion1_spot_46	0.016092343	0.6148515	8.1561654e-07	0.010488233	0.06158249	5.882412e-08	1.3877391e-07	6.3221094e-08	5.071416e-06	0.00075673976	0.071751356	8.361705e-07	0.22446953	8.934042e-07
priorregion1_spot_47	9.785249e-05	0.1671579	1.2144473e-06	2.2533275e-06	0.008418504	5.343826e-07	3.180459e-07	1.9492268e-07	1.4040671e-06	0.10638827	0.17821024	6.564594e-07	0.53562355	0.004097037
priorregion1_spot_48	0.024838228	2.7699025e-06	4.7286298e-07	0.005744987	3.2028308e-07	2.6981888e-07	2.0753784e-07	3.030358e-07	4.8156588e-05	1.9887455e-07	9.513447e-07	0.007031733	0.9552869	0.0070444923
priorregion1_spot_49	0.0616604	0.101255395	3.9206097e-06	0.013435862	0.02471951	0.002457875	6.027367e-07	2.260242e-06	1.7854621e-06	0.062403105	2.0291573e-06	6.354504e-07	0.66898715	0.06506948
priorregion1_spot_50	3.1262232e-05	0.18746021	1.06429e-05	0.020821625	5.026032e-06	1.280517e-07	1.7230842e-07	1.3303776e-06	0.13054441	3.4363838e-06	0.30474043	3.9649655e-07	0.35638016	8.371458e-07
priorregion1_spot_51	0.010921672	0.38956925	8.329101e-07	0.012199541	0.047766343	0.098619364	2.2888979e-07	3.7011746e-06	0.089242145	0.09273876	8.6811015e-06	0.0028260914	0.2560963	7.052754e-06
priorregion1_spot_52	0.0055986764	0.45524907	4.76841e-07	3.1957137e-07	0.021637557	0.012219721	9.712473e-06	3.525699e-07	0.014798221	9.4093264e-07	0.099781245	1.5152077e-07	0.3907033	3.413687e-07
priorregion1_spot_53	0.0008079364	0.5091099	6.81069e-07	0.09085691	0.115319096	1.4024656e-07	8.0973145e-08	9.2580635e-08	0.1309015	0.06749744	0.030050904	0.028482033	0.026972253	9.375153e-07
priorregion1_spot_54	0.03452707	0.3381798	2.9073163e-07	7.19491e-07	0.014483254	1.9387296e-07	1.4954352e-07	2.753439e-07	2.406549e-06	0.019553818	0.12612543	1.1261385e-06	0.43616593	0.030959586
priorregion1_spot_55	0.053132907	0.46345058	3.1542865e-07	1.6647418e-07	0.085613266	7.210088e-07	0.003951606	3.7633563e-07	1.5724568e-06	2.9096234e-05	0.13966054	3.015861e-07	0.23958503	0.014573584
priorregion1_spot_56	0.08503334	0.55117214	5.2928266e-07	3.9497684e-07	0.09461096	3.2251592e-07	0.004166297	3.5456198e-06	1.5364388e-06	0.051239595	4.94709e-06	0.003975836	0.20978878	1.7779714e-06
priorregion1_spot_57	0.026899884	0.13877349	3.143474e-07	3.321472e-07	3.2225691e-06	2.5080178e-07	0.00013684857	0.0016225764	0.07877795	7.431067e-06	0.16456239	6.364825e-07	0.55924404	0.029970653
priorregion1_spot_58	0.0049213306	0.418723	3.8621442e-06	0.05508132	7.95701e-06	9.5170236e-08	1.2265562e-07	1.1304351e-07	0.02437912	8.67596e-05	0.235835	3.1187537e-06	0.2609521	6.0949383e-06
priorregion1_spot_59	0.05889977	0.47987416	5.446246e-07	2.6675076e-07	0.053078122	1.4864627e-07	5.334733e-07	1.557201e-07	7.4950613e-06	2.9944567e-05	0.18899451	8.904601e-07	0.21286424	0.006249237
priorregion1_spot_60	1.7732531e-05	0.35273454	4.7504127e-06	1.5054526e-06	0.075975314	3.6916876e-07	2.4010583e-07	2.5287383e-07	0.004660406	6.9473163e-06	0.18756604	1.8493965e-06	0.37796056	0.0010695821
