	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	0.09596125	0.10405586	0.008589365	7.486579e-07	0.00614626	0.011964319	0.0074077286	2.8958677e-06	6.067586e-06	0.28403488	0.053733096	0.024176057	1.0674817e-06	0.4039204
priorregion1_spot_2	0.054124113	0.12118244	1.3075731e-05	0.014459302	7.769749e-06	0.008697679	1.0648793e-06	5.239764e-07	0.0588677	0.016172849	0.5513643	0.037432607	1.5955059e-06	0.137675
priorregion1_spot_3	0.0033363923	3.350201e-05	3.2281648e-06	5.0346475e-06	4.708811e-07	0.07577792	2.3212615e-07	3.4588442e-07	3.1699633e-06	0.41572976	0.50510883	2.3051923e-07	6.685525e-07	3.074834e-07
priorregion1_spot_4	1.048591e-05	0.5539074	1.4828785e-06	7.1500034e-07	0.00022659224	4.3792673e-07	4.4052447e-07	2.999606e-07	0.015876848	0.3067518	0.121403106	0.0018175159	1.5279148e-06	1.3251639e-06
priorregion1_spot_5	2.4815602e-06	0.06660981	1.5546656e-06	2.7754854e-07	0.017050281	4.554415e-07	0.0046863756	0.015581074	0.01739519	0.088733025	0.5535471	0.024391519	9.3544594e-07	0.21199997
priorregion1_spot_6	0.01654551	0.24190249	6.261013e-07	1.9456593e-07	0.027617142	1.4792448e-07	4.925009e-07	5.1660237e-07	2.007553e-05	0.017053712	0.6196451	2.4209276e-06	9.342386e-07	0.07721058
priorregion1_spot_7	0.0058572837	0.5968321	0.0073817046	0.015939763	0.009573514	1.5466415e-07	1.9240129e-07	1.403026e-07	0.0035929873	0.13906662	0.10489131	0.030355666	1.036962e-06	0.08650738
priorregion1_spot_8	1.8605775e-05	0.37160605	7.122984e-07	0.003955816	0.0064202873	2.0757058e-07	8.198443e-07	2.736136e-07	3.2118387e-05	0.1279726	0.443012	0.012482332	0.002355133	0.032143082
priorregion1_spot_9	0.009251743	0.15287513	0.009280653	1.1674297e-06	0.009676146	6.0661314e-06	2.1141706e-07	2.6162996e-07	5.4156176e-06	0.19523905	0.62123287	1.6823383e-07	0.0023730767	5.8008925e-05
priorregion1_spot_10	0.043195896	0.40354446	0.012689196	4.8695836e-07	7.3825754e-06	2.6431252e-07	3.4957088e-07	2.536043e-07	1.2555491e-05	0.14972758	0.31337762	0.023380645	1.071281e-06	0.054062333
