	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	0.0086315	0.413946	0.13340914	0.0009881783	1.9674492e-06	9.947316e-06	0.0010814832	1.4299612e-06	8.391875e-06	0.0003071077	0.038927734	7.606415e-07	0.37837368	0.024312664
priorregion1_spot_2	0.03984459	0.36959004	7.029946e-07	4.3361894e-07	0.008655446	1.6466588e-07	1.724457e-07	2.8329242e-07	2.9679745e-06	5.9720815e-06	0.16207105	0.021177495	0.22990613	0.16874455
priorregion1_spot_3	2.6156458e-06	0.11609533	0.4428199	0.019733889	2.7806277e-06	6.582569e-08	9.145239e-08	8.3043666e-08	0.0060675256	4.905491e-07	2.9044674e-07	0.07749047	0.30587745	0.031908996
priorregion1_spot_4	0.06824785	0.124719344	2.0466976e-07	1.1328048e-07	0.028266728	0.0013781531	7.774922e-06	1.6716902e-07	1.121977e-06	0.017130453	0.24525374	5.409168e-07	0.51499206	1.7409452e-06
priorregion1_spot_5	0.02170631	0.5662258	8.2581556e-07	4.020019e-07	0.029942987	0.022944769	8.6826105e-07	7.0563993e-07	0.038880568	0.05023199	1.5163405e-06	3.3145332e-07	0.257078	0.0129849445
priorregion1_spot_6	8.644499e-06	0.32128555	0.024467729	6.779108e-06	0.09141813	0.013499589	1.71905e-06	0.025057474	0.008237031	0.046103552	3.211077e-06	7.068023e-06	0.23164202	0.23826146
priorregion1_spot_7	0.11866952	0.008394743	0.005861997	4.6051107e-07	6.31517e-07	1.6030707e-07	4.5196e-07	0.0097686155	7.9249116e-07	1.2771582e-06	0.0094088735	0.14412253	0.49432558	0.20944431
priorregion1_spot_8	0.01537801	0.41738164	0.07420212	2.7863967e-07	0.042566277	2.0202269e-07	0.014316825	2.75799e-07	1.1336443e-06	1.6005455e-06	0.14789633	3.353119e-07	0.18287939	0.10537562
priorregion1_spot_9	1.0917165e-06	0.2137207	0.46799904	5.3883705e-06	0.028999886	0.005377369	7.082089e-07	0.022682976	1.2720763e-05	1.1450489e-05	0.05939627	0.016359687	0.18543145	1.2943567e-06
priorregion1_spot_10	0.01737637	0.15740253	4.59946e-06	1.3006384e-06	1.1548636e-06	1.0960676e-07	0.0005052327	1.2351478e-07	6.7111882e-06	1.0765216e-06	0.1603999	0.1437344	0.45185706	0.06870939
priorregion1_spot_11	2.1812164e-06	0.10803034	1.863214e-07	1.13350836e-07	5.025076e-06	3.038463e-07	3.9333267e-05	1.4802565e-07	4.7810937e-07	0.08553479	0.11100973	0.013776639	3.0208588e-07	0.68160045
