,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,0.5904946029186249,0.11249940618872643,0.020050627645105124,8.026001269172412e-05,9.589717592461966e-05,0.00973195331171155,0.004240920953452587,0.00016213360722758808,0.0028516024816781283,0.8684577882289887,0.14603540077805519,0.04346373919397593,0.00022798892678110863,1.397015506029129
priorregion1_spot_2,0.24547882229089737,0.17536581680178642,0.03087619412690401,0.0006116728793131188,5.146097846591147e-05,0.008103532763198019,0.0011783023830503226,3.01263717119582e-05,0.07727667391300201,0.02574561592191458,1.4095508992671966,0.23563086614012718,5.04042978718644e-05,0.7464135944843292
priorregion1_spot_3,0.0021505263983272018,0.028833048325031998,0.0003452942299190909,0.0007071031635859982,3.6951722449884988e-06,0.018481377605348823,1.313101624873525e-05,9.417869250682999e-07,1.2707583573501325e-05,0.5394400268793106,0.3483246311545372,1.9025325764232547e-05,1.0632037083269096e-05,1.2695606801571558e-05
priorregion1_spot_4,0.09092027507722378,1.245809417963028,0.00047740170848555865,0.000213649713259656,0.0001086496686184546,0.004508079425431788,1.8644568444869947e-05,9.26139955481631e-06,0.0001616370980627835,1.0523725152015686,0.31447291374206543,0.0010833312117028981,8.943510420067471e-06,0.0011513210018165411
priorregion1_spot_5,0.014573738444596529,0.09746524952352047,0.0004420569966896437,3.6360282865643964e-05,2.4448864132864403e-05,0.00020199481004965492,0.007490895316004753,2.33853173085663e-05,0.0001390123783494346,0.21825940012931824,0.7261362642049789,0.050774780474603175,5.354655368137174e-05,0.6714797437191009
priorregion1_spot_6,0.20064350664615632,0.4886282905936241,0.0014684787951409818,2.7406125900597542e-05,0.031019428838044406,7.469054298780975e-06,1.262024720745103e-05,1.1505511611176188e-05,7.885170089139137e-05,0.11736214756965636,1.121260219812393,0.0003088170968112536,1.4992499382060487e-05,0.35561217814683915
priorregion1_spot_7,0.028554159123450516,0.865739044547081,0.011443306505680085,0.0012362537905573846,0.0034802757669240235,0.0019071218674071133,4.543851537164301e-05,6.656480240962993e-06,0.003915127436630428,0.39159874618053436,0.26035547256469727,0.10708312913775445,1.4407707158170525e-05,0.3894252762198448
priorregion1_spot_8,0.09990424588322638,0.6411365509033203,0.00014215059782145544,0.0008401965460507199,0.00031270266190404073,0.0014747083885595202,3.205931152479025e-05,5.3699069894719285e-06,0.00022102059301687407,0.41004126965999604,1.0467510521411896,0.055729754827916624,0.00014372994992299938,0.15410060584545135
priorregion1_spot_9,0.044545930810272694,0.28194136917591095,0.009138155495747924,4.036154987261398e-05,6.957003060961142e-05,0.007403817004524171,1.7769839246284394e-06,1.2734047061258025e-06,4.52062078693416e-05,0.42834791243076326,0.8075532525777817,9.192167235596572e-05,2.679731842363253e-05,9.796954545890913e-05
priorregion1_spot_10,0.29762483090162273,0.5490209877490998,0.00761716130655259,4.257141317793867e-05,7.023773359833285e-05,0.0018120569584425539,4.640748666133731e-05,4.121792721889506e-06,0.00010022197493526619,0.4174908876419068,0.4572432801127434,0.07516836225986481,0.0001277622679481283,0.2497706413269043
