	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	1.0852524e-07	6.86005e-08	8.034544e-05	0.54036987	7.805041e-08	5.326091e-07	4.5757893e-06	0.45284307	6.849206e-08	0.0067009307	6.801137e-08	5.6017193e-08	6.962592e-08	8.9671545e-08
priorregion1_spot_2	0.009137343	4.2023032e-07	0.0025246686	0.46646628	2.4871005e-07	1.1100675e-05	0.06065157	0.27647668	0.0020077624	8.000811e-07	2.3764791e-07	0.15679666	1.7213723e-07	0.025926096
priorregion1_spot_3	7.795458e-07	2.1203049e-07	0.13729365	0.2038778	6.180999e-07	7.291384e-06	0.15760887	0.41694707	1.1160035e-06	1.4562987e-07	1.3839018e-07	0.08426154	6.99233e-08	6.4152977e-07
priorregion1_spot_4	0.0079519	2.3282105e-07	0.00073381263	0.65681195	2.0682498e-07	8.8267916e-07	4.6251455e-07	0.0033564824	3.3122134e-07	1.524446e-07	1.0915277e-07	0.21195361	0.0023724046	0.11681743
priorregion1_spot_5	4.1467098e-07	8.2061734e-07	0.00014678715	0.56341267	0.027039893	0.0663628	0.02535423	0.08785509	0.00016279219	1.8200141e-07	9.70381e-07	0.1397181	0.0010942376	0.08885103
priorregion1_spot_6	5.269594e-07	2.3563392e-07	1.1745863e-06	0.08634654	1.7022683e-07	0.035799395	0.16286089	0.6050966	0.0012889281	1.5132612e-07	1.18492515e-07	0.10860456	7.102543e-08	6.0306263e-07
priorregion1_spot_7	2.1443407e-07	5.9185826e-08	0.016499897	0.15798977	4.6491998e-08	0.40467966	6.0943353e-06	0.2934729	9.1143676e-08	2.4589207e-07	1.0219815e-07	0.12735035	7.4228296e-08	5.1736015e-07
priorregion1_spot_8	2.5033725e-07	1.9716103e-07	5.4327863e-08	5.160631e-08	1.4918524e-07	0.05447286	0.16762692	0.57114327	1.5033939e-07	0.004311118	1.1516435e-07	0.20244353	1.0935441e-07	1.1921611e-06
priorregion1_spot_9	1.3879264e-07	2.7952606e-07	3.7942398e-06	0.24970879	1.2957409e-07	0.28210732	5.254958e-05	0.37770241	3.6742645e-07	1.7108417e-07	1.7709047e-07	0.090413995	8.163082e-08	9.834592e-06
priorregion1_spot_10	1.6880335e-07	5.534513e-08	4.361544e-08	3.4250792e-08	4.3968672e-08	0.12089905	0.10367945	0.6268291	5.745638e-08	1.2220913e-07	4.6097572e-08	0.14859141	5.053777e-08	3.4951603e-07
priorregion1_spot_11	1.1538597e-06	5.0992946e-07	0.116517074	0.007855094	2.1179952e-07	4.3000693e-07	2.6686703e-06	0.3379818	3.5528882e-07	1.9417694e-06	3.9993898e-07	0.3901518	4.3328237e-07	0.1474861
