	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	0.00010841767	2.73112e-07	1.8972493e-07	1.7404197e-07	6.009455e-07	1.3584393e-07	1.7955185e-07	1.6005768e-07	2.442661e-07	5.740192e-07	3.1442585e-07	3.2135013e-06	0.9998842	1.3194839e-06
priorregion1_spot_2	1.95195e-06	2.0586295e-07	2.6718698e-07	4.3886743e-07	2.5289484e-07	1.0008103e-07	9.136232e-08	8.9398654e-08	2.2113088e-07	1.9003522e-07	2.18494e-07	9.3273997e-07	0.9999947	2.863657e-07
priorregion1_spot_3	4.8475868e-05	4.594055e-07	1.7437041e-07	1.60935e-07	1.909599e-06	0.08118003	4.9883386e-07	0.06374683	3.3796238e-07	3.6159744e-07	1.9973055e-07	1.4157562e-05	0.85500526	1.1355306e-06
priorregion1_spot_4	1.0973644e-06	3.4671007e-07	0.2947886	8.1117906e-07	1.4392556e-06	5.260352e-07	7.596267e-07	0.50483954	4.472366e-07	3.297094e-07	1.8634843e-07	5.790325e-07	0.20036502	2.5846708e-07
priorregion1_spot_5	8.8996586e-07	1.604028e-07	0.22541879	0.010120132	4.7844804e-07	0.20067365	7.659708e-06	0.23595056	1.7593896e-07	2.094161e-07	1.3605785e-07	3.6154765e-07	0.3278265	3.1110133e-07
priorregion1_spot_6	0.011676914	4.8464636e-07	0.5259568	0.00012892576	3.4800303e-07	5.3790245e-07	0.025315626	0.18045399	7.202182e-07	2.7716968e-07	4.4509434e-07	2.4097412e-07	0.25065386	0.005810826
priorregion1_spot_7	0.0042062216	0.023045145	0.21778892	1.2943816e-06	3.185952e-06	0.022400985	2.1434064e-06	0.44150278	5.6116204e-07	7.115273e-07	0.007122191	5.1161277e-07	0.28392512	2.268057e-07
priorregion1_spot_8	8.388712e-07	5.4779974e-08	0.98289627	0.0032760461	1.3261399e-07	0.0028817991	5.5837694e-07	0.010943407	9.561812e-08	7.951643e-08	8.1482185e-08	1.626765e-07	1.9576754e-07	3.2348396e-07
priorregion1_spot_9	0.07040282	7.263311e-07	0.45800558	2.9835696e-06	4.044001e-07	0.011466609	0.03179045	0.08485688	0.06872154	6.4819704e-07	4.0365916e-07	1.8288948e-06	0.27474725	1.7780407e-06
priorregion1_spot_10	0.0009751824	3.4397826e-07	2.4010473e-07	2.598109e-07	4.5009963e-07	8.4262e-07	1.145491e-06	0.10731163	3.512679e-07	6.358829e-07	3.0888015e-07	5.3817625e-06	0.8916996	3.5397275e-06
