,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,0.026732186600565908,0.028717943746596575,0.0014099162304773926,0.09111332446336746,2.1046755227871473e-05,1.0945937097072602,0.1910589389503002,0.3519416719675064,0.00023562614733236843,0.13284244760870934,2.248609960079193,0.00021536841450142674,5.2809884437010624e-05,0.008052021684125065
priorregion1_spot_2,0.27757433652877805,0.3258955404162407,0.03099796762689948,0.00020096273146918975,0.00016493616203661077,1.3339476595319865e-06,2.883891170313291e-06,8.414810508838854e-07,0.00464931910391897,0.1154134649783373,1.8569337844848632,0.0023654735879972575,0.0007150268211262301,0.006478779739700258
priorregion1_spot_3,0.04306646324694157,0.4676921650767326,0.0004649988099117763,0.0009150338388280943,0.0014111534575931728,1.307802122028079e-05,0.0019452764419838789,1.4111649124970427e-05,0.0007312416943022982,0.04151054173707962,4.970050239562989,0.002690337493550032,0.00042656230507418517,0.9400445491075515
priorregion1_spot_4,0.031322755850851536,0.8128582894802093,0.013458202499896288,0.03568581882864237,0.0006935158889973536,1.8887960413849212e-05,0.0023045285721309487,1.1784563548644657e-05,0.0005510039016371592,0.6084400326013565,3.1552451968193056,0.046497359126806255,0.0005395082320319488,0.026875480450689795
priorregion1_spot_5,0.031326161604374646,0.16675821617245673,0.00021975497729727068,3.559384294931078e-05,4.1859098200802694e-05,3.7925635751889786e-06,0.6661367744207383,4.472529531085457e-06,0.00013261160856927745,0.2538724720478058,0.8755055010318756,0.0009451285703107715,0.00019242859125370162,0.004531569965183735
priorregion1_spot_6,0.011310770362615585,0.0008619015541626141,0.0009253941476345062,0.15412856116890908,0.0002323291075299494,2.276357326991274e-05,0.01939048506319523,2.4197610582632484e-05,0.0022640625364147124,0.0049159058136865495,4.926540565490723,0.00024267198605230076,0.00045882542763138186,0.8377460390329361
priorregion1_spot_7,0.06841997802257538,0.6136075735092164,0.0034337223041802645,0.0014875440392643215,0.03808910641819239,0.9816457241773605,0.0001403739159286488,2.6723952123575147e-05,0.0008240155148087069,0.09923122338950635,1.8377427697181703,0.012828327110037209,0.0019330829789396377,0.0408104095607996
priorregion1_spot_8,0.3014294534921646,0.8788843899965286,0.018608239665627482,0.0012320532288867979,0.008705400535836816,0.027989275753498077,0.32897435575723644,0.23667020425200463,0.006945918546989561,0.6511886179447175,1.4201617121696473,0.05457738190889359,0.012007621675729751,0.08015603460371494
priorregion1_spot_9,0.011328315781429411,0.7476820439100265,0.0005517741228686646,0.005045272200368345,0.01929392330348492,1.9986598317700555e-06,7.857544551370665e-06,4.9415752982895356e-06,0.0015039201942272484,0.012159713357686995,1.9088006675243379,9.392899955855683e-05,0.00010130226219189354,0.36609815508127214
priorregion1_spot_10,0.3144023925065994,0.536579716205597,0.1277999460697174,0.00186113411327824,0.006420538481324911,3.145271330140531e-06,1.605402112545562e-05,2.3076908200891923e-05,0.00046078239829512314,0.24489488750696184,2.862226271629334,0.0005612503620795906,0.00016883094795048237,0.006211801222525537
