,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,5.52697903913213e-05,9.879158199055384e-07,0.09661918506026268,0.7338594913482667,3.830086689049495e-06,0.00023641024672542698,0.30909112840890884,0.7914734691381454,1.9283727567653844e-06,0.0007312659901799635,3.7150699768062624e-06,0.6212218075990678,0.0007150206161895767,0.8677219659090043
priorregion1_spot_2,0.00046183935919543725,3.3780929015847503e-06,0.001253665453987196,0.0005923829594394192,3.344986748743395e-06,0.06357939392328263,0.0258801837451756,0.8531399697065354,3.058571974179359e-06,0.18270014449954033,4.9196184954780625e-05,0.19902950748801232,0.284390826523304,0.00267071716953069
priorregion1_spot_3,0.48122164756059643,7.123458976820984e-06,0.0001597274691448547,0.00016756392433308067,7.309090779017424e-06,0.10489645302295685,0.03703302666544914,0.9416234493255615,2.9285613891261167e-06,0.0007753423124086112,8.483209312544204e-05,0.804831463098526,1.5850374937057494,0.11577577888965607
priorregion1_spot_4,4.3385738166534795e-07,7.49044968273438e-08,0.23760067895054818,1.1819617271423342,1.8602041009785353e-07,1.251545850209368e-05,2.6388956712253276e-06,0.3211182475090027,1.4441804765397138e-07,7.679560212636717e-07,8.625097848380393e-07,0.00016513124501216225,6.209109557175907e-07,6.608212934224867e-05
priorregion1_spot_5,0.0002730567066464573,3.408310021768557e-05,0.0012824918841943145,0.016328174993395807,1.2309895055295785e-05,0.2257020391523838,0.0035603312193416056,0.561347821354866,1.0864042405955842e-05,0.009343732800334693,3.953097475459799e-05,0.8257504522800445,1.0462587893009185,0.1330851174890995
priorregion1_spot_6,3.426575021876488e-05,5.951493562861287e-07,4.716100238510989e-06,4.7253740376618235e-06,7.994852410320164e-07,1.0787673772938433e-05,1.5585242092609406,0.0002872413431759924,1.1463423163604603e-06,0.0033462848863564433,0.0001096738749765791,0.0020447019604034724,0.8558270394802093,0.01667081266641617
priorregion1_spot_7,2.7197158374292485e-06,2.9897180127136384e-07,6.925490038156568e-06,6.49451362733089e-06,9.480842408038371e-07,2.7566882545215778e-05,0.43550296127796173,0.22840330749750137,1.9843818250819824e-07,0.6503138959407807,7.15175079335495e-07,0.0018535712850280106,1.2170285617685297e-05,0.00022036115769878963
priorregion1_spot_8,0.0030052576214075087,2.2967860715539246e-07,1.9608419461292217e-05,4.1319511547044384e-05,2.2104055119598343e-06,0.02537426175549626,4.151404664298752e-05,0.23553774878382683,5.97014982872679e-07,0.00022193240220076406,1.2244237154845905e-06,0.8915792763233185,0.0006279866938712075,0.2511825442314148
priorregion1_spot_9,0.009540086379274726,1.376322228452409e-06,0.00020007630373584107,0.0002734594017965719,8.878339201601193e-07,0.05248517524451017,0.23013157695531844,0.4333518415689468,6.762255270587047e-06,0.2550114095211029,4.6273540101537945e-05,0.7227923393249512,0.5276057541370393,0.013652398297563196
priorregion1_spot_10,0.18290657550096512,0.004303070204332471,0.16305176988244055,0.369930899143219,0.017345582880079747,0.0024959457456134263,0.06631425470113754,0.022247080132365225,0.0004405795712955296,0.7188486605882645,3.770969906327081e-05,1.8075985968112946,0.7132844805717469,1.6527628600597382
