,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,0.08800932690501213,1.382438039779663,0.00023290121025638656,4.2396077697048894e-05,0.006440735631622374,7.409589852613864e-05,0.6134263098239899,0.00020354496882646345,0.18284666612744332,1.0243537545204162,0.031825192086398606,0.0023914454970508816,4.242656086717034e-05,0.001914482773281634
priorregion1_spot_2,0.0003754801145987585,1.0588995099067688,1.0679916143417358,0.019697652757167818,0.05580465011298656,0.26760161966085433,0.1023875541985035,1.710720543997013e-05,0.08322368487715721,0.17458852753043175,0.00019151926244376227,0.00014384701717062856,6.017497689754237e-05,0.024732482526451348
priorregion1_spot_3,0.24195547327399253,0.019548414554446936,2.2678863525390627,0.07175626941025257,0.0034344215644523503,8.04744986453443e-06,0.0053630879847332835,4.906368394586025e-06,0.0004113784656510688,0.0011390992964152248,2.9285926939337517e-05,4.2358845348644536e-05,1.3363083962758537e-05,0.009201223868876696
priorregion1_spot_4,0.006406514463014901,1.4772340178489687,0.0008463833568384871,0.0017414253146853297,0.01772910449653864,0.11035348139703273,0.9275549501180649,0.00013208801537984983,0.01236284882761538,0.0001159889652626589,0.0003359856244060211,1.704800115476246e-05,1.579057452545385e-05,0.0004036767524667084
priorregion1_spot_5,0.021940392255783082,0.8250856816768647,1.140657740831375,0.03666259460151196,0.014694132842123508,0.00030729512945981696,0.6435449451208114,0.00014346728639793582,0.11208120509982109,0.4436552584171295,0.1474392384290695,0.00023474569825339132,4.619549636117882e-05,0.011625036317855119
priorregion1_spot_6,1.3876505909138359e-05,0.34311815947294233,2.0093800867471148e-05,0.0011707703990396113,0.0004564095725072548,0.12476104460656644,0.39071743935346603,3.7051795970910464e-06,0.0025509466882795095,0.0063281391980126505,5.569469317379118e-06,0.0002295848578796722,8.176928895409221e-06,1.986970955840661e-05
priorregion1_spot_7,0.0018350793397985399,0.8078023612499237,0.06796445436775685,6.993929855525494e-05,0.000845541013404727,1.8420728429191514e-05,1.0520368039608001,0.008230975875630974,0.003486419352702797,0.5705029278993606,0.38369945138692857,0.0032097190036438406,0.016501756105571988,0.0025846410426311195
priorregion1_spot_8,0.014648602111265063,1.2825807809829712,0.6573724478483199,0.011598076531663537,0.04785987474024296,1.2604141602423624e-05,0.0008675491058966145,5.2166705609124625e-05,0.13003226593136788,0.11545966416597367,0.001296824513701722,4.590067346725846e-05,0.00011814582030638121,0.020601265877485276
priorregion1_spot_9,0.01423984128050506,0.0004331812757300213,1.0189949870109558,0.012738239532336592,9.386501551489345e-06,3.279613902122947e-05,1.3500612020492553,7.595165552629624e-05,6.914797631907277e-06,0.013411520514637232,6.735029455740005e-05,0.001333587127737701,3.729085347004002e-05,0.0004404729101224802
priorregion1_spot_10,0.08617712780833245,0.32148315757513046,1.2589685261249541,0.020619932189583776,0.00010130878436029888,0.12051318474113941,0.5738951712846756,0.0008603116846643388,0.001423675555270165,0.36894804090261457,0.15237975344061852,0.21588415205478667,0.003034533374011517,0.0012394560384564103
