	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	2.2129054e-06	0.15862064	0.095353924	0.11476172	0.05287413	0.012311913	2.32842e-06	2.562894e-06	0.050197467	0.099933356	0.32237008	0.03472266	1.0564113e-06	0.058845952
priorregion1_spot_2	0.0068500997	0.5090406	0.0019522741	2.1969204e-06	0.10621796	0.012509467	1.0834356e-05	0.0054338328	2.8831823e-06	0.18707493	0.025493383	0.058540482	7.8792056e-07	0.08687031
priorregion1_spot_3	1.4621381e-06	0.39542568	0.010702663	0.02468814	5.5383875e-06	1.1692184e-06	1.8394571e-06	3.7583281e-06	0.053925507	0.021466479	0.39013255	0.012170963	5.144815e-07	0.09147361
priorregion1_spot_4	0.058754586	0.4304693	0.019791048	1.1703956e-06	0.022659557	1.0956625e-06	8.395606e-06	0.0055116755	0.07647183	0.12318534	0.17454845	0.031650357	0.005658954	0.051288087
priorregion1_spot_5	0.032557417	0.38027588	0.060185038	1.6414594e-06	0.05793826	0.010883219	0.030169234	1.6004698e-06	0.10610395	0.10816051	0.14010498	0.008705929	8.2093436e-07	0.06491152
priorregion1_spot_6	0.003823306	0.13701908	0.08679733	0.031240856	0.025521578	1.6311351e-06	0.013935091	1.0662663e-06	0.23005375	2.5663733e-06	0.41951147	0.01711401	3.2810865e-07	0.03497798
priorregion1_spot_7	0.042651292	0.4425477	0.09115306	1.5125948e-06	0.041466665	4.1684874e-07	4.474586e-07	4.902757e-07	0.20803522	0.026568271	0.10863032	0.038940534	8.9962487e-07	3.1538425e-06
priorregion1_spot_8	0.039062764	0.33080402	0.01459741	8.1522654e-07	0.09396754	4.1711995e-05	0.0062493524	0.01796563	0.008163531	0.0703462	0.11127342	0.09375557	3.2094738e-06	0.21376878
priorregion1_spot_9	0.09708074	0.30564803	0.02520282	3.199642e-06	0.055581238	1.2419809e-05	0.026803512	2.296128e-05	0.102962345	0.08715694	0.21537931	0.028716883	1.0822949e-05	0.05541866
priorregion1_spot_10	0.019122861	0.3744514	0.03450014	1.0129193e-05	0.015046669	0.033035666	1.0849259e-06	0.034510244	0.2791773	0.04792279	0.14331833	0.018856473	1.3448423e-06	4.552245e-05
priorregion1_spot_11	3.377987e-06	0.39341384	5.772046e-05	0.16263169	0.0197278	9.66284e-07	9.3928423e-07	9.663024e-07	0.050087996	0.108154915	0.2604584	0.0045855083	0.00082260754	5.3227053e-05
priorregion1_spot_12	0.05896421	0.24885033	1.8852381e-06	6.9194016e-07	0.08318949	9.384156e-07	0.029512158	9.637563e-06	0.14039306	0.00011345059	0.11329281	0.12524985	2.006528e-06	0.2004194
priorregion1_spot_13	2.049908e-06	0.4633442	0.04662608	2.0000234e-06	0.07602994	2.9221042e-07	0.0036952728	1.1003779e-06	0.14685771	0.029304743	0.1642489	0.012850579	3.5485427e-06	0.057033528
