,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,0.0009069707855815067,3.111357582383789e-05,0.040080337598919866,1.112021028995514,8.392697327508359e-06,0.001403911813395098,0.8920236259698867,0.06148286946117878,2.819984592861147e-05,5.46793400644674e-05,0.001326050772331655,6.214043878571829e-05,6.496756054730212e-06,0.002198777790181339
priorregion1_spot_2,0.0012813109206035733,1.5468287347175647e-05,0.004505097237415612,0.004715175833553076,2.8808732258767124e-05,0.17671460583806037,1.5442932426929474,0.004882679088041186,2.0353901527414566e-05,7.765318355268392e-06,1.612720307093696e-05,1.2242252751093475e-06,1.7264841574160528e-06,0.002353828470222652
priorregion1_spot_3,4.8711678937252144e-05,1.0778067780847779e-05,0.23602980747818947,0.7822533130645752,0.003830849356018007,0.02506155166774988,0.8210435748100281,0.0001562911500514019,6.344811617964297e-06,8.192850546038244e-05,0.004339503613300622,1.7315634704573312e-05,3.9423848647857085e-06,0.00013983820681460202
priorregion1_spot_4,0.0015719467482995242,5.717022099815949e-06,0.22741525322198866,1.2159893035888671,0.00022343326272675768,0.4369141548871994,0.18115510120987893,0.00013646310835611076,1.4662776447949e-05,4.725358667201362e-06,3.114821211056551e-05,2.3736922867101384e-05,4.230672107041756e-06,0.1508647672832012
priorregion1_spot_5,0.0007618099072715268,9.005465216205267e-07,8.550419295261236e-07,1.6594275530223966e-05,6.793545736627494e-07,0.15617949441075324,0.6179957926273346,9.756067186117435e-07,2.0991466954001223e-06,4.2052899402733605e-07,7.942093191104505e-07,0.002287680364679545,2.391509234200839e-07,3.122463094769046e-05
priorregion1_spot_6,0.015805113967508076,1.9009263451152946e-05,0.2870561316609383,0.940727350115776,5.5196111679833856e-05,0.010064453026279807,0.68609738945961,0.00013090074935462326,3.6140507472737236e-05,1.2159966081526365e-05,0.00016790189329185523,5.865796429134207e-05,4.8391348400400606e-06,0.00012294188636587932
priorregion1_spot_7,0.011630787001922726,2.7672847750181973e-06,0.4335976973176003,0.874068146944046,8.579884024584317e-06,0.00020480809325817972,0.7822904855012894,6.906726885063108e-05,1.2989709205157852e-06,0.00014207062922650947,1.3107388622302096e-05,0.00011917118463316001,0.0007242503808811307,4.390389203763334e-05
priorregion1_spot_8,1.10569925254822e-05,3.4949167968534314e-07,0.24051496535539627,0.5522528499364853,2.124157947491767e-06,0.07623594291508197,0.897106882929802,0.07570379786193371,3.2922169907578794e-06,2.2220093342184556e-06,4.893117790061296e-07,2.000329948259605e-06,7.15626660507951e-07,4.474349589145277e-06
priorregion1_spot_9,7.68041172705125e-06,8.508851266242346e-07,0.28623429387807847,1.2045370221137999,7.636158585455633e-07,1.9460856310615782e-05,0.0017446732963435352,1.4979203524490006e-05,1.1076337386839441e-06,3.1817256029853525e-07,7.521603464510919e-07,0.0003080357477301732,1.671456196561394e-07,1.3677169226866684e-05
priorregion1_spot_10,0.00021575220307568088,3.474448476481485e-05,0.012276913691312074,0.6979074209928513,9.390719833390904e-06,0.00011727312557923142,1.2429557740688324,3.165641282976139e-05,6.347179305521423e-06,1.3367710971579074e-05,0.001673372881487012,7.085746165103046e-06,0.00563673668075353,0.00018284927136846818
priorregion1_spot_11,1.827762716857251e-05,1.803504329700445e-06,0.15068913549184798,0.9067312717437744,8.318064919876635e-06,0.0003238678618799895,0.34436003118753433,7.288258384505753e-05,2.975463655729982e-06,1.211526437145949e-05,6.843935625511221e-06,1.7114797572048702e-06,8.429246236119072e-07,1.670410829319735e-05
priorregion1_spot_12,0.00022293462898232975,1.4283940208770218e-05,0.004744649678468704,0.45697619020938873,5.973543502477697e-05,0.3374896690249443,1.2511387825012206,0.022269434202462437,3.746747115656035e-05,2.546173254813766e-05,0.01771809160709381,9.212775330524892e-05,2.585220499895513e-06,0.008157460344955325
priorregion1_spot_13,7.837801058485639e-06,1.3909230105468852e-07,0.00473829444963485,0.4559178754687309,6.5466355749777e-07,0.07820328809320926,0.19751095324754714,6.913087963766884e-06,9.522896561975358e-07,5.493441051385162e-07,2.571301052967101e-07,7.794974806074607e-07,3.0802137729324386e-07,7.96924185124226e-05
priorregion1_spot_14,0.01024193880148232,4.738711049867561e-05,0.24023941680788993,0.21686904281377792,2.250608677059063e-05,0.010181201994419098,1.0848571836948395,0.00022034196299500764,7.945553006720728e-05,9.19222025004274e-06,6.924115077708848e-05,4.456771475815913e-05,3.1016568641462073e-06,0.056580381095409395
priorregion1_spot_15,0.00025867579388432204,0.0073916838271543385,0.04096710793673992,0.8253525167703628,9.953910594049375e-05,0.377971413731575,0.9907780200242996,0.04343352783471346,0.00010870337500819005,0.00020962750932085328,7.648104074178264e-05,0.005502493958920241,0.0009114249958656729,0.06961425617337227
priorregion1_spot_16,0.003030927199870348,3.93058722920614e-06,0.21553661450743675,0.9331362128257752,0.0006950277747819201,0.07417916394770145,1.069423359632492,0.0008955834142398089,1.951831027326989e-05,2.1472017942869572e-05,9.665041216067041e-06,0.004294607369229198,9.282464488933329e-05,0.00014307959645520896
priorregion1_spot_17,0.00010786394122987985,1.3807414006805628e-06,0.0396624144166708,0.49392854124307634,8.897450170479714e-05,0.05679161809384822,0.9800983935594558,7.018349388090429e-05,1.32361141140791e-06,4.488917852540908e-06,1.221048682964465e-06,3.8194064245544735e-06,9.93129231119383e-07,0.003179965983144939
priorregion1_spot_18,0.0002609343544463627,5.7822227063297765e-06,0.29613509923219683,0.8051286369562148,2.681790156202624e-05,0.0002373391507717315,0.6856860876083374,8.252970037574416e-05,1.0611593097564764e-06,1.7891677725856425e-05,1.0640563141350868e-05,0.01931152995675802,3.26137000001836e-06,0.026848599687218668
priorregion1_spot_19,0.0059812764404341585,2.671445190571831e-06,0.0691133126616478,0.8465017050504684,3.8931470044190064e-05,0.053639285266399384,0.7154128611087799,0.07926690392196178,6.939794252502908e-06,3.61253098162706e-05,3.067769148401567e-06,0.00027521109150256966,0.0005727844312787057,0.003148566628806293
priorregion1_spot_20,5.0178662968392024e-05,0.010502144787460565,0.03473926465958357,0.35344562083482745,0.00012855483946623282,0.00017723431592457927,1.084690922498703,0.0036000967607833444,2.2807737695984543e-05,0.001030883373459801,0.00014061190231586809,1.565145939821378e-05,2.2855965562484928e-05,1.709036214379012e-05
priorregion1_spot_21,1.0886652307817713e-05,7.058092523948291e-05,0.021947200130671262,0.5560217380523681,3.899315993294295e-06,0.14570442810654638,0.6884700506925583,3.5836295319313655e-05,1.2628527065317031e-05,1.7981402470468312e-05,9.892612024486879e-06,3.088238349846506e-06,0.00018385096846031959,1.938984787557274e-05
priorregion1_spot_22,1.8782047663989943e-05,2.189121187257115e-06,0.3264297351241112,0.6465883910655976,9.281488883061683e-06,0.2472878225147724,0.35158574134111403,0.00025357443082612007,3.934067194677482e-06,1.7380677127221135e-05,3.1372633429782585e-06,6.590099001186901e-05,1.1855276170535946e-06,0.0038395366515032946
priorregion1_spot_23,1.2740189140458824e-05,5.231425575402682e-07,0.6852269768714905,0.6398708134889602,2.6793941628966423e-06,0.0002816977925249375,1.2331481397151947,0.0003299703108496033,3.3645618032096533e-06,5.843737471877831e-06,5.667795858244063e-06,0.0005705815099645407,3.3824417187133804e-06,1.7031687730195702e-05
priorregion1_spot_24,0.0007830218732124195,5.886189028387889e-05,0.3542793825268746,1.3471784889698029,6.586275935660525e-06,0.00028761585417669266,0.8392800092697144,0.0006146094616269693,9.587501263013108e-05,0.0007036697701551021,9.100840252358467e-05,0.00012784742139047012,1.903347210827633e-05,0.00020725942667922939
priorregion1_spot_25,0.00010849487480300014,1.5899469053692884e-05,0.07268063984811306,0.23396730199456214,1.918082298288937e-05,0.0001106986659578979,1.2714008450508116,3.3036798049579376e-05,1.3906359811244328e-06,7.865497500461061e-05,0.0028033037669956684,5.898347717447905e-06,3.6258960903978733e-06,7.12424530320277e-06
priorregion1_spot_26,9.999411740864162e-05,1.646716185632613e-06,0.1872784286737442,0.3875618189573288,1.2065314024312105e-06,0.13391403406858443,1.0106338739395142,0.00044203320285305384,6.396441494871396e-06,3.69050816516392e-05,2.8085739245398145e-06,0.0004255684718373232,1.6447398024865832e-06,3.17292822728632e-05
priorregion1_spot_27,0.000789905816782266,4.489943307817157e-06,0.5781908988952636,0.07990365624427795,1.0344409793106024e-05,0.00020859638243564405,0.779322761297226,0.2781966745853424,1.9846699274239655e-06,1.7293580458499495e-05,2.2267410349741114e-05,1.572577893966809e-05,6.8485421252262315e-06,0.00037784859305247667
priorregion1_spot_28,6.70316607283894e-05,1.361230597467511e-05,0.3074257925152779,0.46907074153423306,1.306016470152827e-05,0.1166628461331129,0.7228385716676712,0.00014259322269936093,2.265219800392515e-05,0.0001223671315528918,0.006500018457882106,1.905733633975615e-05,6.042179538781056e-05,6.931799616722857e-05
priorregion1_spot_29,0.0077718577813357115,0.0005601217591902242,0.14789850935339927,0.32393871396780016,6.929566052349401e-06,0.201064433157444,0.9982469528913498,0.0001372260565403849,0.00010693996009649711,0.00035143087152391674,0.0005298163887346164,5.224707911111182e-05,4.060767582814152e-06,2.5250198632420506e-05
priorregion1_spot_30,5.315360203894671e-06,0.00023480781383113935,0.023541323654353616,0.5885423868894577,1.2375474943837618e-05,0.00013877927412977442,0.5486037492752075,3.226588651159545e-05,5.232522130427242e-06,2.476153872521536e-06,5.505122226168169e-06,3.9116117841331294e-05,1.5789064207183403e-06,0.00010385548157501034
priorregion1_spot_31,5.021350330025598e-06,4.97726773573959e-07,0.29847406744956967,0.6208468586206436,2.3565227024846534e-06,3.788890971918591e-05,0.32520922124385837,3.785086028074147e-05,2.8742476558818454e-07,1.6736046461574008e-06,1.0921428213350736e-06,0.00017873986944323407,8.355534248494226e-07,2.012239619944012e-05
