,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,0.11705296859145164,0.10273071788251399,6.600616652576718e-05,0.2342942252755165,0.7391686558723449,1.2276946165457049e-06,1.0533791680700233e-06,6.525904609588907e-07,0.00011178694185218774,9.746920295583551e-06,4.157337662036298e-05,2.3014853468339425e-05,1.1897581338882446,0.0004472613916732371
priorregion1_spot_2,0.22394711896777153,4.9018229037756104e-05,0.3565821677446365,5.540879756154027e-05,0.33151023983955386,7.113773172022775e-05,0.0007480381114874035,1.3989589774610068e-06,5.790073873868096e-06,2.135485974577023e-05,0.0004918173071928322,4.110279915039428e-05,1.2605721652507782,0.0024748530588112774
priorregion1_spot_3,0.2807031288743019,0.0063163588987663385,0.0007518870930653066,0.0018622138595674187,1.1435575962066649,0.014170256536453962,0.002676724176853895,4.78647471027216e-06,0.0012165327614638956,0.0003096707136137412,0.0003034018271137029,0.0031853172462433577,1.120204108953476,0.0003121722795185633
priorregion1_spot_4,0.1632968693971634,0.0023115500574931503,0.23789178356528282,0.2399770051240921,0.4745823428034782,0.012524879956617952,8.496974896843312e-06,0.0004469473351491615,0.057463609427213666,0.0020811282913200555,6.18981048319256e-05,0.1819282591342926,1.020829975605011,0.0015860382525715977
priorregion1_spot_5,0.2832385540008545,0.0013041296508163212,7.807850088283886e-05,0.00011874930241901893,0.7970676004886628,0.09213797301054001,0.00010302831906301435,0.004268500045873225,0.015768148191273212,2.470352665113751e-05,1.834802997109364e-05,2.6911129407380943e-05,1.0672084093093872,0.00012412750475050417
priorregion1_spot_6,0.5270917892456055,0.019664514996111396,0.01370292934589088,0.0007118237088434398,1.1764418005943298,0.005557543179020286,2.561613118814421e-05,4.427343378665683e-06,3.3512970003357625e-05,0.0018648104858584704,2.011465076066088e-05,3.94476433939417e-05,1.4034570693969728,0.0003009052059496753
priorregion1_spot_7,0.016308414097875357,0.0005486121051944793,0.38275982886552806,0.1206947062164545,0.6193649679422378,3.586772265862237e-06,0.000873357563978061,2.6673151069189776e-06,0.0006569014687556774,2.546112582422211e-05,7.879907161623124e-06,0.00013026730375713668,0.7617409229278564,0.7624708980321884
priorregion1_spot_8,0.01920289983972907,0.12607720866799355,0.0003208617999916896,0.006374357384629548,1.1918668508529664,3.945010845995967e-07,3.451955365108007e-07,3.123054455045349e-08,4.495533194130985e-05,4.158632941653196e-06,5.990895351715154e-06,1.0549779426582973e-05,0.5394564509391785,0.00010680564300855622
priorregion1_spot_9,0.14260584115982056,0.00033668128453427925,8.071658376138658e-05,0.00024004886363400147,0.9594762831926347,2.4235775163106156e-05,5.233764113654615e-06,1.1626160414834887e-06,3.719813612406142e-05,8.920788386603818e-05,8.408268195125857e-06,4.658552552427864e-05,1.8141134798526763,0.4213085472583771
priorregion1_spot_10,0.08969103284180165,0.01378888529725373,0.00031307791941799225,0.007093163765966892,1.2681520640850068,1.3785319708858882e-06,3.366344671462685e-07,1.383447283842543e-07,2.3435768071067287e-05,9.567944289301522e-06,2.1873223067814253e-05,8.925286419980695e-06,0.40235765278339386,0.009127472573891283
