	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	0.95746714	2.520912e-06	8.7152205e-07	6.029626e-05	4.8256356e-07	4.242527e-07	1.0097666e-06	8.3562463e-07	0.00020321415	1.2020033e-06	0.02498472	0.017024364	6.539155e-05	0.00018741179
priorregion1_spot_2	0.9622866	7.1810615e-07	0.00022032946	1.4960916e-06	7.750833e-07	4.1790653e-07	4.4893974e-07	4.575799e-07	7.0205436e-07	0.0016501503	7.3119475e-07	0.035823945	5.69535e-06	7.5667763e-06
priorregion1_spot_3	0.8618462	0.013549956	9.1841054e-07	9.734693e-06	0.013098504	1.9032001e-07	2.1226809e-07	1.8956301e-07	8.075478e-07	9.952998e-07	1.8611291e-06	3.2847885e-05	7.97223e-05	0.11137799
priorregion1_spot_4	0.83804834	1.1991935e-06	2.560509e-06	0.052563753	3.4045084e-07	3.2020932e-07	3.8955417e-07	9.400129e-07	0.004899918	7.409328e-07	0.011040215	5.8933647e-06	0.0034492791	0.089986205
priorregion1_spot_5	0.78630114	5.1013336e-07	7.123205e-07	6.608985e-07	5.31579e-07	1.7891492e-07	2.2800799e-07	2.0830707e-07	4.2564994e-07	3.5521379e-07	3.0887514e-07	0.00010270101	6.707437e-06	0.21358539
priorregion1_spot_6	0.983439	6.6014974e-07	2.5610126e-07	2.8673915e-07	1.9763518e-06	3.5106024e-07	9.309216e-07	5.022955e-07	3.8757227e-07	7.861221e-07	5.5650344e-07	8.7605474e-07	0.016503023	5.034004e-05
priorregion1_spot_7	0.9985939	2.7710368e-07	1.9761896e-07	1.6177117e-07	4.7264365e-07	1.3109135e-07	1.938237e-07	1.8623787e-07	3.7610232e-07	1.9024251e-06	2.4776995e-07	5.858015e-06	0.0013904923	5.600907e-06
priorregion1_spot_8	0.9854944	4.6426322e-07	4.038666e-06	2.2917873e-06	1.1621806e-06	2.9153935e-07	5.557037e-07	5.7550125e-07	8.410994e-07	6.0595966e-07	2.6275285e-07	5.2073706e-06	0.014484516	4.683971e-06
priorregion1_spot_9	0.6076556	0.07261114	1.0515244e-06	1.0281651e-06	0.018798023	1.9074396e-07	2.786537e-07	2.881617e-07	2.5105899e-06	6.887597e-07	9.195663e-07	1.3153512e-05	7.8275156e-07	0.30091435
priorregion1_spot_10	0.9901502	1.8827139e-07	2.1805342e-07	3.0404726e-07	3.4466163e-07	1.7251233e-07	2.0409479e-07	2.855372e-07	2.4009992e-07	1.9635944e-07	1.6904796e-07	5.905767e-06	0.009818626	2.28688e-05
priorregion1_spot_11	0.97456557	4.0825614e-07	9.271867e-07	5.448892e-07	6.5027166e-07	6.088461e-07	1.0562463e-06	5.835705e-07	5.5776104e-07	3.98939e-07	2.7962486e-07	0.015907895	2.0275304e-06	0.009518665
priorregion1_spot_12	0.9991155	5.3727564e-07	4.9054506e-07	3.5130157e-07	0.00084629573	3.2299656e-07	2.035249e-07	2.303006e-07	6.08466e-07	3.3334032e-07	3.9775543e-07	3.4609013e-06	4.7919057e-06	2.6437932e-05
priorregion1_spot_13	0.6014842	0.14465055	1.7953724e-06	0.023432972	3.3573504e-06	4.9369305e-07	3.6761995e-07	2.8514353e-07	1.3262763e-06	0.005751911	5.4486677e-06	3.1445034e-06	1.9868053e-06	0.22466215
priorregion1_spot_14	0.99289465	6.126412e-07	4.3761227e-07	5.028491e-07	3.5120917e-07	1.1089186e-07	1.3859547e-07	1.2122105e-07	3.1599606e-07	2.7243918e-06	5.7568997e-07	4.2877787e-06	5.1475105e-05	0.0070437808
priorregion1_spot_15	0.73841876	4.5275954e-07	3.261209e-07	2.8370906e-07	0.010701297	2.9296453e-07	0.030646618	5.45663e-07	3.9682774e-07	3.5254246e-07	2.5239552e-07	0.016664246	0.013447803	0.19011848
priorregion1_spot_16	0.22143623	3.340677e-06	1.9130948e-06	0.0031605565	0.023410516	5.2163983e-07	2.7312965e-06	5.9468096e-07	3.835782e-06	3.8356194e-07	5.7628546e-07	3.319085e-05	1.5676512e-06	0.751944
priorregion1_spot_17	0.97535795	2.0585605e-06	1.2682865e-07	1.2812981e-07	5.0421827e-06	0.010627568	4.3321032e-07	2.9658617e-07	5.9280563e-07	0.003126506	1.4942078e-06	5.835439e-06	7.70448e-05	0.010794998
priorregion1_spot_18	0.9999898	2.902061e-07	1.3807077e-06	4.6179463e-07	3.4420543e-07	1.7160097e-07	2.3208061e-07	2.4224354e-07	3.989095e-07	6.7552514e-07	1.9287206e-07	2.7831877e-06	2.9660825e-07	2.754692e-06
priorregion1_spot_19	0.9480011	2.322509e-06	1.0444743e-06	6.0469197e-06	1.348403e-06	2.2417947e-07	3.0436027e-07	2.516029e-07	9.829989e-07	3.8565854e-06	1.2656606e-06	0.00014927275	0.018936424	0.03289561
priorregion1_spot_20	0.9567236	3.8827767e-07	5.828165e-06	0.040551182	4.2040588e-07	2.3811302e-07	2.9376008e-07	3.5600146e-07	4.37652e-07	5.5193976e-07	2.4299302e-07	0.0015857081	5.9859965e-05	0.0010709252
priorregion1_spot_21	0.9359065	3.3883891e-06	9.075044e-07	2.34392e-06	3.4044002e-05	3.1086012e-07	3.120747e-07	2.216623e-07	7.259893e-07	2.8146633e-06	3.793262e-06	1.42380395e-05	9.779797e-07	0.06402939
priorregion1_spot_22	0.96736294	1.1585321e-06	3.113733e-07	4.4144474e-07	0.005590539	1.8446809e-07	1.815187e-07	1.7735375e-07	1.2229218e-06	1.3417377e-06	3.4196572e-07	0.019787464	0.007173568	8.012726e-05
priorregion1_spot_23	0.9442551	4.7126787e-07	1.1229192e-06	6.7656816e-07	4.1533818e-07	3.1416974e-07	3.2091012e-07	3.5862948e-07	3.6790794e-07	7.3990753e-07	4.1503407e-07	0.05572368	1.5121914e-06	1.4444692e-05
priorregion1_spot_24	0.99936783	4.8319007e-06	4.7460136e-07	4.6542024e-07	1.1872902e-06	4.0870136e-06	4.2903466e-07	3.4276204e-07	9.748262e-07	9.643578e-06	1.731708e-06	2.2989676e-05	1.7587177e-05	0.0005674488
priorregion1_spot_25	0.65490276	1.0711655e-06	8.3164906e-07	8.592839e-07	0.023290683	4.3161643e-07	3.706518e-06	6.38016e-07	7.391503e-07	4.819222e-07	4.3791263e-07	0.004969729	6.4001197e-06	0.3168212
priorregion1_spot_26	0.9509649	3.0802548e-07	0.04895971	2.3415644e-06	3.1806206e-07	1.7416785e-07	2.0052468e-07	2.620975e-07	2.6237333e-07	4.20466e-07	2.173703e-07	4.0897783e-05	4.7684455e-07	2.9426565e-05
priorregion1_spot_27	0.77300394	0.047031093	3.7702983e-07	3.0246263e-06	0.038103394	2.1354272e-07	2.1762072e-07	1.8207675e-07	8.81672e-07	4.2936247e-07	9.726074e-07	3.0239009e-05	0.00035660167	0.14146854
priorregion1_spot_28	0.9402761	1.1882933e-06	0.01638298	0.00662426	1.9007431e-06	2.0654876e-07	2.1082087e-07	2.0883523e-07	9.712409e-07	4.825368e-07	1.1234176e-06	2.7410167e-06	0.0024037387	0.03430386
priorregion1_spot_29	0.6051769	8.375321e-06	7.671901e-07	1.1040676e-06	1.4189183e-05	1.3978834e-07	2.2280142e-07	2.031913e-07	9.414872e-07	0.004679536	1.0004633e-06	3.6669662e-05	1.0752957e-06	0.39007887
priorregion1_spot_30	0.951007	7.3324657e-07	2.8173354e-06	0.014432157	1.6054269e-06	1.3420127e-07	1.9683714e-07	2.0005565e-07	7.6681476e-07	6.993428e-07	3.45626e-07	0.033546146	4.3449713e-06	0.0010027818
priorregion1_spot_31	0.9558411	8.4919907e-07	1.8857222e-07	2.0742377e-07	1.3685947e-06	1.8195797e-07	2.2966397e-07	2.2162872e-07	3.4841005e-07	2.1339642e-06	3.976163e-06	1.6161587e-06	0.044133093	1.4568569e-05
priorregion1_spot_32	0.66638	5.314536e-07	4.838536e-07	3.0679502e-07	0.008631111	2.809908e-07	0.12465524	4.3534075e-07	4.0797127e-07	3.798409e-07	2.6557535e-07	0.00018962742	0.008766964	0.19137391
priorregion1_spot_33	0.93624574	5.156411e-07	4.1580796e-07	2.1219123e-06	1.0792993e-06	7.718285e-05	0.013308442	8.1946536e-07	3.950153e-07	0.0012516918	2.1622875e-06	0.0043057897	0.03005998	0.014743627
priorregion1_spot_34	0.91356903	5.8120133e-07	2.652778e-06	1.7871396e-05	9.399761e-07	2.873964e-07	3.412655e-07	3.0888276e-07	4.0740792e-07	6.252304e-07	4.3316942e-07	6.76605e-05	0.0066090003	0.07972983
priorregion1_spot_35	0.8727388	8.1328767e-07	5.307569e-07	3.39365e-06	0.008944614	1.5198708e-07	1.669381e-07	1.680774e-07	5.4225086e-07	8.063466e-07	4.0448757e-07	1.1549456e-05	0.0074068094	0.110891305
priorregion1_spot_36	0.9080414	3.5147295e-07	4.9449557e-07	6.8477624e-07	3.1454022e-07	2.290223e-07	3.65704e-07	3.56088e-07	2.4289176e-07	2.5342896e-07	2.728565e-07	1.721641e-06	7.0979837e-07	0.091952525
priorregion1_spot_37	0.66131675	9.632194e-06	3.5509395e-06	4.46847e-06	0.02413162	2.9720917e-07	2.8601283e-07	2.5933275e-07	8.801083e-07	1.0780047e-06	9.280571e-07	7.4333807e-06	1.1910698e-06	0.31452158
priorregion1_spot_38	0.88443404	0.03921909	2.893843e-06	0.041696213	2.4764418e-06	2.3660785e-07	2.2720032e-07	2.8549698e-07	2.0034895e-06	6.0390203e-06	3.1320642e-06	6.85765e-06	7.088634e-07	0.034625787
priorregion1_spot_39	0.9999636	4.724094e-07	6.016306e-07	8.782371e-07	9.435323e-07	2.0508796e-07	2.7652752e-07	2.4117753e-07	5.587336e-07	1.941385e-06	3.349833e-07	2.6949058e-06	4.2205318e-07	2.6778587e-05
priorregion1_spot_40	0.9880812	2.7815398e-07	8.5243363e-07	4.565589e-07	3.983154e-07	1.4636953e-07	2.309507e-07	2.3893304e-07	4.24278e-07	3.3088702e-07	1.8541182e-07	6.1403844e-06	0.011830908	7.81094e-05
priorregion1_spot_41	0.59893626	1.0278204e-06	7.940818e-07	7.047778e-07	0.022759872	4.4932762e-07	0.013286185	5.7149146e-07	6.663436e-07	3.9053606e-07	5.612059e-07	1.6236147e-06	0.024236111	0.3407748
priorregion1_spot_42	0.9922061	5.460492e-07	3.1393049e-07	4.9224656e-07	4.7372183e-07	4.232825e-07	3.30049e-07	2.9150863e-07	3.76466e-07	0.0024537027	0.0024990293	1.09530865e-05	0.0027735375	5.3437925e-05
priorregion1_spot_43	0.94299394	7.707914e-07	0.021903364	1.9691992e-05	0.034822673	1.1311117e-07	1.5623567e-07	1.6829578e-07	7.959676e-07	5.334661e-07	3.2446226e-07	5.4046635e-05	1.3533997e-06	0.00020202101
priorregion1_spot_44	0.98680866	2.7303503e-07	1.1899876e-07	2.1397263e-07	3.5281546e-06	4.411819e-07	0.0062467866	9.36056e-07	3.282605e-07	0.002818809	1.3861712e-06	6.8959247e-07	0.0041148555	2.9768287e-06
priorregion1_spot_45	0.98115563	4.4584755e-07	1.8985099e-06	0.018801859	7.036621e-07	1.3876738e-07	1.9697434e-07	1.9413186e-07	5.2985524e-07	5.7481054e-07	3.389854e-07	1.4659074e-05	5.984743e-07	2.2196436e-05
priorregion1_spot_46	0.9863119	1.6849594e-06	6.0091855e-07	8.0202994e-07	1.6262669e-06	5.1591627e-07	5.8697475e-07	6.4321256e-07	7.4512724e-07	1.7880734e-06	1.1191187e-06	4.6418418e-06	0.013663707	9.699613e-06
priorregion1_spot_47	0.82749176	6.812998e-07	3.9790294e-07	0.0074485233	6.9929314e-07	5.285706e-07	0.032136988	5.4787057e-07	4.8255896e-07	7.01694e-07	6.312947e-05	5.625164e-06	1.0925832e-05	0.13283916
priorregion1_spot_48	0.9705062	3.1809184e-06	3.1511377e-07	3.8491498e-07	1.030151e-06	2.905757e-07	2.6794407e-07	2.267843e-07	1.2823122e-06	1.2312835e-06	8.877568e-07	0.029475978	5.9333324e-06	2.7957215e-06
priorregion1_spot_49	0.97428197	4.2771754e-07	1.9494337e-05	0.025670491	5.1146844e-07	1.7162147e-07	2.1718711e-07	2.9524193e-07	4.107954e-07	8.680944e-07	3.338413e-07	3.32703e-06	7.3619674e-07	2.0768784e-05
priorregion1_spot_50	0.967417	4.0662925e-07	1.4300016e-07	1.7941083e-07	0.002410468	3.439657e-07	9.628397e-07	7.775342e-07	7.289933e-07	0.00070328085	0.008704021	4.5333604e-07	0.020760525	6.5307415e-07
priorregion1_spot_51	0.9999799	1.9487163e-07	7.6011355e-07	5.150239e-07	2.942451e-07	2.1520893e-07	2.5137686e-07	2.331718e-07	2.4004953e-07	3.591892e-07	1.5526689e-07	1.3325105e-05	4.6175717e-07	3.0873782e-06
priorregion1_spot_52	0.99999285	2.873248e-07	2.9840746e-07	2.3110957e-07	2.6677008e-06	1.548093e-07	3.4072974e-07	4.0722156e-07	2.9782888e-07	3.4825683e-07	1.3816184e-07	8.8830666e-07	5.433589e-07	6.2177054e-07
priorregion1_spot_53	0.9158703	1.9564652e-06	2.6598812e-07	2.5934665e-07	0.0011521819	0.0077957315	0.0333093	9.785973e-07	1.6776116e-06	3.9985156e-07	5.972017e-07	4.305228e-05	0.00014851538	0.041674633
priorregion1_spot_54	0.9999918	3.8957785e-07	5.608171e-07	4.840066e-07	4.8483207e-07	2.2750068e-07	2.94477e-07	2.48774e-07	2.8901798e-07	6.042276e-07	3.1053946e-07	2.235393e-06	1.1134936e-06	9.821131e-07
priorregion1_spot_55	0.7700704	3.0835083e-06	2.1562535e-06	0.008965349	4.8263664e-06	1.9176979e-07	3.283066e-07	2.4990229e-07	7.9163374e-07	2.9090625e-06	8.462204e-07	0.0001406428	1.5237542e-06	0.22080667
priorregion1_spot_56	0.955942	1.4108075e-06	1.1697781e-06	0.013619086	1.9965385e-06	1.3377016e-07	2.3127228e-07	2.2591202e-07	1.7968651e-06	1.2045384e-06	2.4510598e-06	0.030335095	9.362146e-07	9.242536e-05
priorregion1_spot_57	0.9692801	2.594648e-07	0.015385019	1.3052767e-06	2.9715957e-07	1.7000949e-07	2.1191939e-07	2.0723724e-07	2.3739298e-07	4.6679912e-07	2.1254947e-07	0.0153254075	4.809504e-06	1.2985919e-06
priorregion1_spot_58	0.880489	1.6724764e-06	2.9920202e-06	6.5014365e-07	2.6949775e-07	1.3960718e-07	1.8805767e-07	1.926323e-07	0.04413532	3.0481171e-05	0.0177741	0.05755768	4.1386247e-06	3.2033938e-06
priorregion1_spot_59	0.9812819	1.890438e-07	2.767114e-07	2.0585864e-07	4.0132e-07	1.6338227e-07	3.1114385e-07	3.2697784e-07	2.1693762e-07	1.9180318e-07	1.3995555e-07	8.978444e-07	0.018712167	2.6872349e-06
