	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	0.0814197	0.42528215	9.127906e-06	0.012984895	0.0684624	2.8173335e-07	1.7360326e-06	4.718809e-07	8.0201105e-05	0.2026081	0.15684892	3.130638e-05	0.03808436	0.014186302
priorregion1_spot_2	0.055308733	0.18831347	1.1781035e-05	0.122183554	0.014875769	0.007744888	0.17173694	0.06744242	0.20930366	0.09103839	0.030207854	0.016940959	0.013369541	0.0115219625
priorregion1_spot_3	5.9744925e-06	0.32419768	0.18524872	0.00030673452	0.06786299	0.02049202	2.3163664e-06	1.5254993e-06	0.14398308	0.03692884	0.14457385	0.0032867843	0.027298026	0.045811396
priorregion1_spot_4	0.14352395	0.42231208	0.03736716	0.0026533299	0.047407594	0.0015913149	1.3248514e-06	0.015856912	0.07059915	0.07029556	0.1368284	1.0974549e-05	0.020060152	0.031492032
priorregion1_spot_5	0.035728175	5.360248e-06	0.04441947	0.32795054	0.035875652	0.03351377	0.006981494	2.9390976e-06	0.21298757	1.2170739e-06	0.2298911	0.03609377	0.036545895	3.0144026e-06
priorregion1_spot_6	0.11763541	0.35788155	0.029615646	0.03463067	0.046632353	4.5407915e-06	0.035218585	1.4216972e-05	0.015750062	0.10323368	0.18856013	0.00030886236	0.0622632	0.0082510235
priorregion1_spot_7	0.1529837	0.21044973	0.06377392	0.05219105	0.03352858	0.006535192	0.009163641	2.7528165e-05	0.032165766	0.078352176	0.27987966	0.0026684317	0.04808228	0.030198388
priorregion1_spot_8	0.056123316	0.13846755	0.11105463	0.07332016	0.06315294	0.029071316	0.08194804	0.035594005	0.21824478	0.018693874	0.15886073	6.0182915e-06	0.008838991	0.0066236863
priorregion1_spot_9	0.01554129	0.27349782	0.0835127	0.061376005	0.063243784	0.026575843	1.5054441e-06	0.025821023	0.07904308	0.066546336	0.23606446	0.015459129	0.033005446	0.020311613
priorregion1_spot_10	0.11126297	0.35819462	0.12890056	0.044827316	0.052580453	0.037052438	0.007846459	2.1477044e-05	0.08814094	0.11473641	0.01834087	0.015545633	0.022505704	4.4010514e-05
