	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	9.909215e-08	0.033183716	0.7381699	2.1552352e-05	0.19696276	0.007816474	1.8645103e-07	1.8434545e-07	4.0986382e-05	2.6484847e-07	0.023802927	5.1893693e-08	6.9022377e-07	6.662515e-08
priorregion1_spot_2	0.020970277	0.03191202	0.5188207	0.017116448	0.34924817	1.4155245e-07	0.009405409	2.9599414e-07	0.020038486	2.4861507e-07	1.2449165e-06	3.237638e-07	6.1259465e-07	0.03248565
priorregion1_spot_3	0.0347806	0.009560199	0.26676697	0.11434495	0.5555638	0.005702864	1.4608655e-07	1.8057865e-07	0.010568398	1.5328154e-06	1.5475466e-06	1.9301608e-07	0.0027079124	6.3071883e-07
priorregion1_spot_4	0.01939895	4.208348e-06	0.53061444	0.032602675	0.40138805	5.0138564e-08	1.226561e-07	1.2658604e-07	2.4109338e-06	0.015988024	4.0468655e-07	1.0747182e-07	2.1731951e-07	1.6775525e-07
priorregion1_spot_5	3.5880207e-06	0.024491588	0.18132894	0.17531571	0.6155007	1.2945898e-07	4.6984508e-07	0.0032877864	6.3718275e-05	1.1834395e-06	5.0194376e-06	1.2566257e-07	1.9340143e-07	8.0366647e-07
priorregion1_spot_6	0.056311194	2.9269613e-06	0.47960448	0.0377078	0.39742318	1.8250233e-07	2.1295925e-07	2.11543e-07	5.0949466e-06	0.013314002	6.4736673e-07	8.130295e-07	1.9726153e-07	0.015629107
priorregion1_spot_7	0.04138845	0.0027696965	0.20575172	0.08900563	0.5500161	1.238916e-07	7.1748156e-07	1.9143812e-07	2.223565e-06	2.3711193e-07	4.5394862e-07	1.6969383e-07	2.945325e-07	0.11106394
priorregion1_spot_8	1.2151448e-06	0.043568756	0.52288735	1.7283368e-05	0.4273778	8.0997076e-08	1.8899291e-07	1.2872941e-07	2.7599654e-05	8.6635896e-07	4.124662e-06	1.3813636e-06	0.0018872241	0.0042259768
priorregion1_spot_9	5.4343445e-07	0.0035796515	0.30147648	0.18575262	0.43371662	1.7669637e-07	3.9965815e-07	1.834994e-06	0.031042758	0.017219791	0.027208582	1.6698414e-07	1.8025403e-07	2.5540314e-07
priorregion1_spot_10	0.011364044	0.059072647	0.3881842	0.08283073	0.4230837	0.0019415584	1.6258883e-07	9.5599546e-08	5.0732542e-05	5.7027313e-07	0.013444611	0.016176287	2.340178e-06	0.0038484102
priorregion1_spot_11	0.06284406	0.018291594	0.30913085	0.037033696	0.5289635	1.4490007e-07	9.0355725e-06	0.0039271726	0.005316436	1.6204674e-06	2.722811e-06	3.353496e-07	1.5576861e-06	0.034477297
priorregion1_spot_12	0.033768177	0.07224069	0.12699644	0.037210446	0.68979466	0.0026899881	0.018388677	0.0065127844	0.006713124	3.236542e-07	2.0905313e-06	9.994513e-08	2.4249084e-07	0.0056824074
priorregion1_spot_13	0.058073554	2.9626717e-06	0.2804001	0.011938995	0.6420067	0.0006812227	1.9134077e-07	0.0068915403	2.0236726e-06	1.5202573e-06	5.26586e-07	1.3272854e-07	3.1334318e-07	2.9683278e-07
