	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	1.7491799e-06	2.0475989e-07	0.25913468	7.759476e-06	1.5889718e-07	0.34507707	2.0980575e-05	0.0088025015	2.3297815e-07	0.11693022	1.5184098e-07	1.229653e-06	1.16611744e-07	0.2700229
priorregion1_spot_2	4.881423e-07	3.998834e-07	8.659089e-07	3.0234057e-07	0.014507417	0.75439775	0.035086226	0.00018031227	2.6722276e-07	0.11483866	3.1948795e-07	7.285868e-07	3.5848643e-07	0.08098587
priorregion1_spot_3	5.7210564e-06	1.4426513e-07	0.12741487	1.0456635e-06	3.3260514e-07	0.28771353	0.23803237	0.1098184	1.504543e-07	0.038717985	1.0680658e-07	0.015258037	7.6580983e-07	0.18303648
priorregion1_spot_4	0.059431925	5.541577e-07	0.026228998	0.0047579645	0.009736522	0.12804873	0.33178338	0.11180761	3.327689e-07	0.32561752	0.0005071087	1.7746325e-07	0.002078985	1.6759265e-07
priorregion1_spot_5	0.0074702874	6.2987065e-06	3.6333847e-06	4.155321e-07	9.97403e-07	1.3846189e-07	0.004525038	8.7838816e-07	5.9572876e-06	0.39808133	0.032652672	0.03283702	2.966756e-07	0.5244151
priorregion1_spot_6	0.011979311	0.0066849226	0.49164155	0.09548262	7.946701e-05	0.04624575	0.03137767	0.012893968	0.011429018	0.2666462	0.025538169	2.7702143e-07	3.2376434e-07	7.358295e-07
priorregion1_spot_7	6.3751477e-06	5.0186318e-05	5.781454e-06	0.0069723553	1.2862996e-06	0.307109	1.7062435e-05	0.02499563	1.0585678e-06	0.33867395	0.04714302	0.04225886	4.3959457e-07	0.23276508
priorregion1_spot_8	2.3262417e-07	1.0547204e-07	2.2665255e-07	2.0540651e-07	0.0026307334	0.6267281	0.1589672	0.05813351	9.310604e-08	3.122689e-07	2.1780338e-07	0.06609384	7.2944084e-07	0.08744449
priorregion1_spot_9	1.8135263e-06	3.1774775e-06	2.7455712e-07	1.519241e-07	3.1111247e-07	0.74655485	1.654556e-05	0.00028099393	0.0034973982	0.07835192	0.008159328	9.901715e-07	0.00021545516	0.16291678
priorregion1_spot_10	5.8486734e-07	1.6824239e-06	0.064944044	7.874714e-07	1.8101018e-07	0.5690456	6.8946556e-06	2.4225035e-06	2.5696457e-07	0.21764946	0.024796255	2.732578e-07	1.2960577e-07	0.12355152
priorregion1_spot_11	1.3233735e-05	0.004704642	0.17737016	3.7806665e-06	0.004073832	0.57835764	0.046087746	0.008560176	4.5539056e-07	0.18082194	5.5587448e-06	1.3479149e-07	1.9273553e-07	3.7027397e-07
priorregion1_spot_12	2.8621415e-07	3.2126113e-07	1.3171467e-07	1.4368376e-07	2.4674193e-07	0.6651027	0.12637472	0.0049717315	1.2611342e-07	0.105245546	0.013617967	0.006649248	1.6134614e-07	0.0780366
