,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,4.115604591369629,6.209068351381575e-06,0.7522391498088837,0.001198721816763282,4.830903781112283e-05,4.5769812970775094e-07,1.0391833711764775e-06,6.251940533275047e-07,3.6706928767671343e-06,1.8475900196790464e-05,8.411351063841722e-06,0.005250438372604549,1.2003047322650674e-05,0.38468061089515687
priorregion1_spot_2,4.992505598068238,1.4371528686751845e-05,0.0002803802999551408,1.747337664710358e-05,0.03432871662080288,1.2076674295258273e-06,0.00012138895035604947,1.0550511547080534e-06,3.4166083082709524e-06,6.076578733882343e-06,1.0028936640082974e-05,0.00781836025416851,0.009506745031103492,1.256727236509323
priorregion1_spot_3,1.2099873602390288,2.0814296021853805e-06,1.96637624502182,0.307186920940876,1.1864209727718845e-05,8.496189948346e-05,1.1684255241561914e-05,1.3858704051017412e-06,6.748259608002628e-07,0.0040073483018204575,0.00015667495681555011,2.7502542070578784e-05,5.853538596056751e-06,0.09027395024895668
priorregion1_spot_4,1.7233010709285737,1.1337541809552932e-05,0.9272520810365678,0.05032198131084442,6.050081196917745e-06,0.00026479019143152985,1.1079430350946495e-05,0.0011753850092645736,1.545417217130307e-05,0.0011072209978010507,0.00015563521810690872,0.00013269120099721477,0.002065849618520588,0.15712234228849412
priorregion1_spot_5,2.3570926785469055,1.1047266389141443e-05,0.859813904762268,0.0016187943925615401,6.694481862723479e-06,2.2933632806143578e-07,2.7620467193401053e-07,2.010963314091896e-07,8.396456069021952e-05,0.0002566143433796242,1.3103410447001807e-05,0.000391016504727304,1.806837271942641e-05,0.05616251360625028
priorregion1_spot_6,6.426742362976074,6.179741067171563e-05,0.007657692767679691,0.0004145448794588447,0.0126740877982229,7.082757008447516e-07,9.335733210491526e-07,6.010486600871446e-07,1.5903230723779417e-05,2.4142679012584268e-05,1.776520166458795e-05,0.00528072516899556,0.00020591710781445727,1.0243732571601867
priorregion1_spot_7,5.110027861595153,0.0001569105515955016,0.6966700345277786,0.1462162360548973,0.0007952758081955835,5.802196881177225e-07,1.2103999779355946e-06,7.632079274344505e-07,6.54254884011607e-06,0.0003401745678274892,5.775413465016755e-05,0.001682087138760835,0.0007526344241341577,1.4525341808795929
priorregion1_spot_8,4.498121905326843,3.486762579996139e-06,0.01222535716369748,4.459691244846908e-05,2.2528011777467326e-05,5.224306590889683e-07,3.633928585600188e-07,3.540399546864137e-07,1.9359764905857447e-06,9.166154404738336e-06,3.2203814839704134e-06,0.0002632631265441887,4.480688016883505e-06,0.2000968284904957
priorregion1_spot_9,2.043178987503052,3.72489226720063e-05,0.9485239893198014,0.17510782331228256,7.55040815420216e-05,2.1156821716772359e-07,4.455071135112121e-07,4.152076172658781e-07,1.5052655783165393e-06,0.001140945783117786,2.2077041830925736e-05,0.0003673019746202045,6.459701717176358e-06,0.5622276097536086
priorregion1_spot_10,1.7417533159255982,1.528623776891891e-07,3.577965617296286e-05,1.8945987108054396e-06,4.019959391143857e-07,7.89267291523288e-09,2.723773064872148e-08,8.366630765976878e-09,1.3159559983932922e-07,5.734203483598321e-07,9.779249978691951e-08,3.921913594240323e-06,4.829351269108883e-07,0.0026113312225788834
priorregion1_spot_11,2.9344532251358033,6.282512617872271e-06,1.336648815870285,0.030274789966642856,1.6390853033954045e-05,1.7424428915546744e-05,4.000732023996534e-05,1.9415251972532133e-05,2.1559125798376046e-06,0.0017995038069784641,0.012471864931285381,0.0026511505711823706,2.7121332459500993e-05,0.3148769214749336
priorregion1_spot_12,2.5769564509391785,2.690544934011996e-05,1.035783851146698,0.10620955079793931,8.418945799348876e-05,0.0028900985838845373,0.01193786761723459,7.560545345768333e-05,4.632266227417858e-05,0.00109224648331292,0.00031923149363137786,0.00045990256767254324,0.009535739803686737,0.43597852140665055
priorregion1_spot_13,1.833973926305771,2.480784516478707e-07,5.63460237117397e-06,4.926480360154528e-05,3.7465319564944368e-06,2.110123196175096e-08,2.5127149783088503e-08,3.7245491579795955e-09,1.0316992700154516e-07,4.806867039519603e-07,6.498161354784315e-07,1.74116237758426e-05,3.544058529314498e-06,0.009738529426977038
priorregion1_spot_14,0.8876593530178071,5.631873009406263e-05,0.7918874353170395,0.23241031765937806,5.086161399958655e-06,0.00090319795999676,2.2621743119088934e-05,0.0011220153886824847,1.4118212357061566e-05,0.0009846754663158208,0.002790401305537671,0.008211987977847458,7.689590383961332e-05,0.002401172753889114
priorregion1_spot_15,3.5937928080558774,0.00045412976614898074,0.7559264689683914,0.1886197067797184,0.024310116469860078,2.56382760426277e-06,2.8789500333914476e-06,1.1270208176483722e-06,5.977597702440107e-05,0.001524013141170144,0.032136121205985545,0.0011789117939770223,0.001354282780084759,1.0816663086414338
