	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	0.21453206	7.230561e-07	0.7273352	0.00015430931	1.1808929e-06	3.9818806e-07	8.063513e-07	5.276161e-07	8.645817e-07	1.0184502e-06	5.836761e-07	0.02430569	4.968684e-07	0.033666
priorregion1_spot_2	0.27557462	1.1929124e-06	7.96074e-07	5.820076e-07	0.019885087	6.2221477e-07	0.23140794	1.6169811e-06	6.7796105e-07	1.0071307e-06	8.477863e-07	0.004883464	0.021932837	0.4463087
priorregion1_spot_3	0.0049634483	1.7931663e-06	0.693586	0.29576162	1.5984834e-06	0.0056746094	6.879015e-07	2.2830949e-07	4.2466772e-06	1.7596486e-06	2.7334816e-06	2.2336013e-07	1.1477516e-07	9.904942e-07
priorregion1_spot_4	0.04496733	1.2367747e-06	0.90592945	0.007779297	3.682105e-07	3.8109485e-07	6.226135e-07	0.027917989	9.275012e-07	8.960887e-07	0.0072256005	7.1588454e-07	0.006153093	2.21301e-05
priorregion1_spot_5	0.010539327	4.5528236e-06	0.96033305	5.3201675e-06	3.670848e-07	1.4438903e-07	1.3867565e-07	2.2031014e-07	1.8990103e-06	0.013692731	0.008915319	0.0065040356	5.955339e-07	2.3408245e-06
priorregion1_spot_6	0.57186997	5.937292e-06	0.026881887	1.692385e-05	0.037948273	3.6602006e-07	5.470051e-07	5.4449964e-07	1.8058004e-06	2.1806352e-06	1.2407492e-06	0.031025829	0.011635534	0.32060882
priorregion1_spot_7	0.1410992	4.8103164e-05	0.5237388	0.113989964	6.5039667e-06	1.5351898e-07	2.6620293e-07	1.98058e-07	8.466669e-07	2.7177018e-06	1.5584629e-06	1.4642793e-05	8.305724e-06	0.22108872
priorregion1_spot_8	0.9219413	2.1579672e-06	0.077975444	1.1021834e-05	1.8318386e-06	1.8309054e-05	2.0638763e-06	2.8950017e-06	4.136218e-06	2.7623878e-06	2.4903811e-06	7.4673762e-06	2.1003054e-06	2.5999236e-05
priorregion1_spot_9	5.8146265e-06	0.00509782	0.79949594	0.108660296	0.00013608544	9.309122e-08	1.9048096e-07	1.5099451e-07	9.3378816e-07	0.007043788	4.952934e-07	3.8656426e-06	2.2666852e-07	0.079554334
priorregion1_spot_10	0.8961715	5.5996486e-07	0.103813075	1.6285011e-06	8.670891e-07	3.0860016e-07	5.711432e-07	3.7399022e-07	4.2703314e-07	2.026182e-06	5.3803564e-07	4.698664e-06	5.863424e-07	2.8559402e-06
priorregion1_spot_11	0.3455576	2.909134e-07	0.62142575	0.00012308887	9.5218763e-07	1.7325021e-07	3.0663583e-07	4.263986e-07	3.223016e-07	8.1480755e-07	8.0151716e-07	7.3633506e-05	0.00037162108	0.032444086
priorregion1_spot_12	0.3484421	2.5283293e-07	0.5375459	0.00052577665	0.0016463522	5.102239e-07	1.5832436e-06	0.05774524	4.9067114e-07	3.438694e-07	2.5807802e-07	0.005934767	0.008957059	0.03919935
priorregion1_spot_13	0.8944876	1.4092881e-06	1.2970389e-06	3.8515677e-06	1.2311185e-06	3.7133805e-07	4.8289996e-07	4.2921442e-07	7.857037e-07	7.064777e-05	3.3106423e-06	7.968718e-06	0.105389066	3.14519e-05
priorregion1_spot_14	0.27181882	0.007873518	0.6821762	0.018431721	4.8262615e-07	0.0045559723	3.05304e-07	6.622997e-06	1.4174574e-05	2.4103866e-07	7.3280046e-07	0.008993878	0.006126791	4.104062e-07
priorregion1_spot_15	0.3768583	0.0056046695	0.42976633	0.03022194	0.017597033	1.5532434e-07	3.5859048e-07	2.2580028e-07	2.3545413e-06	9.999143e-07	0.017847711	2.6873179e-06	0.004076753	0.118020646
priorregion1_spot_16	0.8249868	2.3117848e-06	1.9372428e-06	3.0006001e-06	9.877067e-06	2.2519298e-06	0.07262235	4.4965736e-06	2.381449e-06	1.5768393e-06	1.8819161e-06	1.8390683e-05	0.03460444	0.06773817
