,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,1.4919796876711191e-05,1.3320668244887203e-06,0.8396109461784363,2.0310129880905152,6.190787303239631e-06,8.257490799223888e-06,1.5600861161146895e-06,6.858005292542657e-07,4.745243018078327e-06,4.330063438828802e-06,1.0243116605579417e-06,1.2429064690877572e-05,1.3929087003816678e-06,1.840031327446923e-05
priorregion1_spot_2,9.217357091984014e-06,1.21340696068728e-06,0.48114426881074907,1.8439800918102265,2.6091243034898072e-05,4.955748210022649e-07,1.282815594549902e-06,4.894412683142946e-07,5.365020069802995e-06,1.6433543407856637e-06,1.2864623613495498e-06,3.5792117841992877e-06,1.7450848133648833e-06,1.7823541566031056e-05
priorregion1_spot_3,8.988516892713961e-05,5.151647513912394e-07,0.24750102907419205,1.4975351035594942,8.316837875099736e-06,0.00038771430263295775,7.238275816234819e-06,5.611548118622522e-07,1.607003048320621e-06,4.144029912822589e-06,1.1528057711984728e-06,1.569599371578079e-05,1.1315064568862e-06,0.00026978347013937307
priorregion1_spot_4,0.0008224109857110307,5.265392746878206e-06,0.4626183092594147,2.2079800486564634,2.5530843049637043e-05,2.1687407297577014e-06,3.534263050823938e-05,1.1631784855126171e-05,0.000688327758689411,8.117392426356673e-05,7.603130034112837e-05,2.2000849526193636e-06,2.0733533233396887e-06,1.2677673430516735e-05
priorregion1_spot_5,0.000853828401886858,6.730937957399874e-06,0.7656914681196213,1.5430530667304994,6.573399623448495e-05,6.090565602789867e-06,9.024233440868556e-05,0.00014204210456227883,3.5008306554118464e-06,2.2763695051253313e-05,1.6246101586148144e-05,5.469135749081034e-06,5.684195434696449e-06,2.7624307404039427e-05
priorregion1_spot_6,0.008234398346394299,1.965969306638726e-06,0.3969723105430603,1.2834777772426604,6.113989929872332e-05,5.7104598818114026e-05,2.1715087586926526e-05,2.0136912553425647e-06,2.5201942435160163e-06,3.336694589961553e-05,2.7013301405531823e-06,2.4386869426962228e-05,1.8935186574253748e-06,3.9292041037697345e-05
priorregion1_spot_7,6.249240013858071e-05,1.2529988737242093e-06,0.3530432879924774,1.445738047361374,0.0016442271531559528,4.784269265201146e-07,1.5765457590077859e-06,6.021427338964714e-07,1.2969554745723146e-06,1.6356256310245955e-06,1.5893462432359231e-06,5.121026356391667e-06,3.715490140621114e-06,7.452175195794554e-05
priorregion1_spot_8,0.0031522859120741487,4.574665922518761e-06,0.5011067986488342,2.0734813809394836,6.099644106143387e-05,1.2215420156280744e-06,1.108207720790233e-05,1.2340320893144963e-06,8.238674126914702e-06,4.033198983961484e-05,4.848123207921162e-05,6.99944164352928e-06,2.269213177896745e-06,0.001238774723606184
priorregion1_spot_9,2.4883131754904755e-05,2.2873786474519878e-05,0.3684197932481766,1.8655343592166902,0.0002602347725769505,2.2033853610992084e-06,6.282810886659718e-07,8.479098914904172e-06,1.0038002801593394e-05,7.07862218405353e-06,1.5103022633411458e-05,2.524354613342439e-05,0.00034207080025225876,0.05501458458602429
priorregion1_spot_10,2.1981782992952503e-05,5.159382408237434e-06,0.6825736999511718,1.9329353511333467,0.0003157944156555459,2.2651757149105834e-06,5.292896844366623e-07,8.392013540969857e-07,0.00041464739042567094,2.4535351485610593e-06,2.833630333043402e-06,1.1943946265091655e-05,2.9902651363045153e-06,2.8229771214682844e-05
priorregion1_spot_11,1.2816143043892226e-05,3.121034865216643e-07,0.11877914555370808,1.0590564131736755,1.1958032132497466e-06,1.7144876878205651e-07,2.0105838132167265e-07,9.950592243512802e-08,3.2440730564076147e-07,6.125995014372166e-07,6.299607605342317e-07,1.152589572939178e-06,3.4187673236374392e-06,4.073935724591138e-06
priorregion1_spot_12,0.00017194011888932437,9.620393029763363e-05,0.6796833425760269,1.5792899549007415,0.0003015280133695342,5.345475728972815e-05,0.002039184782188386,1.1056435414502632e-05,2.1890889365749898e-05,4.9042928185372145e-05,0.0059081320883706216,7.200294112408301e-06,0.0027928334195166825,8.979848134913482e-05
priorregion1_spot_13,0.20476315692067146,1.8402181638066395e-06,0.7001130968332291,1.6583874225616455,0.0037930118734948335,4.322356107877567e-06,7.355632851613337e-06,2.7171631472810987e-06,8.093130372799352e-06,2.324240276720957e-05,6.78847509334446e-06,0.0494164390489459,2.185594194088481e-05,0.00044394483265932646
priorregion1_spot_14,0.00020250622837920674,4.967464428773383e-06,0.5729888677597046,1.28161119222641,2.6316125422454208e-05,3.955595070692653e-06,7.322056831071678e-07,1.2244553204254772e-06,5.708633057111002e-06,1.836036739177871e-06,3.8146171618791416e-06,0.003316083922982216,3.3050532806555568e-06,0.023808865528553727
priorregion1_spot_15,1.6624156887701248e-05,2.996898012952443e-06,0.5429418057203292,2.0005447983741758,7.368152864728473e-06,1.0739059734987676e-05,0.00038230243080761284,6.663919543825614e-06,5.367829580791295e-05,1.0017887507274282e-05,1.0931351334875217e-05,6.390221642504912e-06,1.9940188849432163e-06,0.00011652251378109213
priorregion1_spot_16,2.006659424296231e-05,1.1780586390841563e-07,0.4772127911448479,1.0934028685092927,5.880332253127563e-07,2.0149096826571625e-07,4.929560844857406e-07,6.072952032809554e-07,6.294916943261342e-07,6.232767873370904e-07,1.7726081651403545e-07,1.184806274068251e-06,2.272753050647225e-07,2.4291300178447274e-06
priorregion1_spot_17,0.00010269638260069769,5.939722950643045e-06,0.4855045661330223,1.7865300297737121,1.6847020560817327e-05,1.7058943910797097e-06,1.3590233174909372e-05,9.098372584048774e-06,9.136083372141002e-06,5.875460851711979e-06,2.103831957356306e-05,0.0003231094669899903,6.065058573767602e-06,0.027957232296466825
priorregion1_spot_18,4.8044439427030736e-05,2.670967603535246e-06,0.7080826193094254,2.108718156814575,6.245223376026843e-05,1.1182731782355404e-06,1.5668545586322579e-06,5.747901866470784e-07,1.8340452470511083e-06,3.058456593407755e-06,4.6654306970594915e-06,3.4510340924498453e-06,1.7923718644397016e-06,2.491025315976004e-05
priorregion1_spot_19,9.425489406567066e-06,3.104205177351105e-07,0.24716487154364586,1.1718275606632231,1.5504705424973507e-05,2.3269784037438513e-07,2.1391790099301035e-07,3.296448852552203e-07,4.5792544653977526e-07,5.588482281382312e-07,6.185355232446456e-07,5.0624181540115396e-06,8.937061465985608e-07,7.2490935963287486e-06
priorregion1_spot_20,0.00011123999793198891,7.367123913581964e-07,0.3387485653162003,2.087051558494568,3.90143600270676e-06,2.1210492036516372e-06,9.292382856074255e-06,9.407732250110712e-07,0.0014129756542388349,2.9638724299729808e-06,3.191515781963972e-06,3.628615991146944e-06,1.7177555037051208e-06,2.181669560741284e-05
priorregion1_spot_21,2.8865550393675225e-05,0.0001412097488355357,0.2896534591913223,1.560420572757721,1.6328985657310115e-05,5.02622006592901e-07,1.1398569483844767e-06,7.238968521505741e-07,1.3170619649827132e-05,4.954542737323209e-06,2.4957318237284196e-05,3.6630143881666305e-06,9.622531797504054e-05,1.2802959918190027e-05
