	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	4.2299184e-06	0.690225	2.1439233e-07	1.2333462e-07	2.539092e-06	4.942981e-07	6.3327825e-06	0.30715352	5.3716562e-06	2.5968648e-05	2.024591e-06	1.6902753e-07	0.002573748	3.022672e-07
priorregion1_spot_2	0.0052388394	0.46941108	1.8748683e-07	1.2746904e-07	1.4933523e-06	3.3665751e-06	4.164465e-06	0.39066112	0.05150941	0.028441157	0.05472345	1.975839e-06	6.531316e-07	3.0471003e-06
priorregion1_spot_3	7.172249e-06	0.46213743	3.1689393e-07	1.7329928e-07	0.01641315	0.07477438	1.8634912e-05	0.3045955	0.008362508	0.03385305	0.09983651	2.3318013e-07	2.3681145e-07	6.932542e-07
priorregion1_spot_4	0.030690132	0.5075656	1.3599417e-07	1.0979896e-07	0.046737097	0.056394443	0.02468944	0.20545183	0.12827183	4.6666946e-07	8.895281e-07	0.00019710121	2.1788365e-07	6.3205687e-07
priorregion1_spot_5	2.7239412e-06	0.686796	0.02202408	0.010190769	0.02017427	0.06802306	5.64118e-07	0.13255548	0.01774153	0.010852129	0.027221913	3.2773707e-07	0.0044167885	4.2925407e-07
priorregion1_spot_6	5.156726e-07	0.26062134	1.261194e-07	1.0081176e-07	8.454493e-07	0.07265308	7.4495205e-05	0.6110693	0.046578225	3.0439833e-07	2.4575016e-07	1.1516334e-07	9.54446e-08	0.009001248
priorregion1_spot_7	0.0029296668	0.32506728	1.09178934e-07	8.3723414e-08	0.017420974	0.08165695	0.073213294	0.42979988	0.0593872	0.004103757	2.2076429e-06	0.0017995458	0.004618716	3.3728992e-07
priorregion1_spot_8	2.1496415e-07	0.3943085	2.9149047e-07	1.7205741e-07	8.276957e-07	0.017328499	0.021171404	0.47970647	0.02893092	0.0029557776	0.05559595	5.8948666e-07	1.7834434e-07	1.8892396e-07
priorregion1_spot_9	0.13463514	0.27482218	1.7770898e-07	1.2049378e-07	4.951962e-06	0.013973148	0.07718902	0.44409415	1.5704853e-06	0.02247026	0.0036022088	0.029201115	6.632198e-07	5.3007607e-06
priorregion1_spot_10	0.11536208	0.3471734	2.438638e-07	2.1280988e-07	1.3671831e-06	1.6636568e-06	1.5542475e-05	0.5118999	4.6947181e-07	7.671249e-07	0.020755101	3.8049401e-07	3.201733e-07	0.0047886134
